windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
процессор,"intel coretm2 duo 2.4 ghz, amd athlontm x2 2.8 ghz",процессор,"intel coreЩ quad 2.7 ghz, amd phenomЩ ii x4 3 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia geforce 8800gts, ati radeonЩ hd 3850",видео карта,nvidia geforce gtx 560
диск,9 gb hd space,диск,9 gb hd space
звукова€ карта,standard audio device,звукова€ карта,standard audio device
,,,
windows_min_Grand Theft Auto III,windows_min_Grand Theft Auto III
операционна€ система,microsoft windows 2000/xp
процессор,700 mhz cpu
оперативна€ пам€ть,128 mb
видео карта,32 mb direct3d video card
directx,microsoft directx 8.1
диск,500 mb uncompressed free hard disk space
,
windows_min_Sins of a Solar EmpireЃ: Rebellion,windows_min_Sins of a Solar EmpireЃ: Rebellion,windows_req_Sins of a Solar EmpireЃ: Rebellion,windows_req_Sins of a Solar EmpireЃ: Rebellion
операционна€ система,windows 10 / 8 / windows 7 sp1,операционна€ система,Ч
процессор,3 ghz intel pentium 4,процессор,intel core i5 / i7
оперативна€ пам€ть,2 gb available system memory,оперативна€ пам€ть,4 gb available system memory
видео карта,256 mb video card w/pixel shader 3.0 support (radeon x1650 / geforce6800* ),видео карта,1 gb video card w/pixel shader 3.0 support (radeon x3000 series / geforce 8000* series )
directx,9.0c,directx,Ч
диск,5 gb hd space,диск,Ч
звукова€ карта,directx 9.0c compatible sound card,звукова€ карта,Ч
,,,
windows_min_Contagion,windows_min_Contagion,windows_req_Contagion,windows_req_Contagion
операционна€ система,windows 7 32/ / windows 8 32/ / windows 10 32/,операционна€ система,windows 10 32/
процессор,2.4 ghz intel dual core,процессор,2.4 ghz intel dual core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"directx 9 compatible video card with 256 mb, shader model 2.0. ati x800, nvidia 6600",видео карта,"directx 9 compatible video card with 512 mb, shader model 3.0. ati x1600, nvidia 7600"
