,,,,,
windows_min_Iron Brigade,windows_min_Iron Brigade,windows_req_Iron Brigade,windows_req_Iron Brigade
операционная система,"windows xp, vista, or 7",операционная система,windows 7
процессор,"intel core 2 duo at 2 ghz, or amd athlon 64 at 2 ghz",процессор,"intel core 2 duo at 2.2ghz, or amd athlon 64 at 2.2ghz"
оперативная память,1 gb,оперативная память,2 gb
видео карта,"256 mb nvidia 8800+, ati 3850+",видео карта,"1 gb nvidia 200+, ati 4500+"
directx,9.0c,directx,9.0c
диск,1800 mb hd space,диск,1800 mb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Secret Of Magia,windows_min_Secret Of Magia
операционная система,"windows xp, vista, 7, 8, 10"
процессор,2 ghz dual core
оперативная память,2 gb
видео карта,hardware accelerated graphics with dedicated memory
,
windows_min_HUNTDOWN,windows_min_HUNTDOWN,windows_req_HUNTDOWN,windows_req_HUNTDOWN,macos_min_HUNTDOWN,macos_min_HUNTDOWN,macos_req_HUNTDOWN,macos_req_HUNTDOWN,linux_min_HUNTDOWN,linux_min_HUNTDOWN,linux_req_HUNTDOWN,linux_req_HUNTDOWN
операционная система,windows 7/8.1/10 (32-bit versions),операционная система,windows 7/8.1/10 ( versions),операционная система,osx 10.12 sierra,операционная система,osx 10.14 mojave,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,intel core duo e6600 @ 2.4ghz,процессор,"i5-2500k@3.3ghz, amd fx 6300 3.5ghz",процессор,intel core i5 @2.7ghz,процессор,intel core i5 @3.3ghz,процессор,intel core™ duo or faster,процессор,intel core™ duo or faster
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"intel 4400, geforce gt 8800, amd radeon hd 4650",видео карта,"geforce gtx 750, amd r7 370",видео карта,"nvidia gt 640m, amd radeon hd 5750, intel hd graphics 6100",видео карта,"nvidia gtx 675mx, amd radeon r9 m290",диск,2 gb,диск,2 gb
directx,version 11,directx,version 11,диск,2 gb,диск,2 gb,дополнительно,gamepad highly recommended.,дополнительно,gamepad highly recommended.
,,,,,,,,,,,
windows_min_Breach & Clear: Deadline Rebirth (2016),windows_min_Breach & Clear: Deadline Rebirth (2016)
операционная система,osx 10.7 or higher
процессор,intel core i3 - 2.3 ghz or higher
оперативная память,4 gb
видео карта,"nvidia gt 520, radeon 5450,"
directx,version 9.0c
,
windows_min_Dino Run DX,windows_min_Dino Run DX
операционная система,10.6
процессор,1 ghz cpu
оперативная память,500 mb
,
windows_min_Out of Ammo,windows_min_Out of Ammo,windows_req_Out of Ammo,windows_req_Out of Ammo
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 980
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Megadimension Neptunia VIIR,windows_min_Megadimension Neptunia VIIR,windows_req_Megadimension Neptunia VIIR,windows_req_Megadimension Neptunia VIIR
операционная система,"windows 7, 32bit, 64bit",операционная система,windows 10 64bit
процессор,intel i5 2.3 ghz or amd a9 2.9 ghz equivalent,процессор,intel i5 3.3 ghz or amd fx-8350 4.0 ghz equivalent
оперативная память,4 gb,оперативная память,8 gb
