windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
windows_min_Rochard,windows_min_Rochard,windows_req_Rochard,windows_req_Rochard,macos_min_Rochard,macos_min_Rochard,macos_req_Rochard,macos_req_Rochard,linux_min_Rochard,linux_min_Rochard,linux_req_Rochard,linux_req_Rochard
операционная система,windows xp sp2,операционная система,windows 7,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционная система,—,операционная система,ubuntu 12.04 32-bit (unity2d session preferred) or ubuntu 12.10 32-bit,операционная система,—
процессор,2.6 ghz single core,процессор,3.0 ghz dual core,процессор,intel mac,процессор,—,процессор,2.6ghz single core,процессор,—
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1gb,оперативная память,—,оперативная память,1gb,оперативная память,—
диск,3 gb,диск,3 gb,диск,3 gb,диск,—,видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,—
видео карта,directx 9.0c compatible graphics card,видео карта,"geforce 8 series, ati radeon hd2xxx",видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,—,диск,3gb,диск,—
directx,9.0c,directx,10.0,звуковая карта,—,звуковая карта,—,,,,
звуковая карта,integrated audio interface,звуковая карта,—,required,"keyboard and mouse with secondary click enabled or gamepad (such as ps3 controller, xbox 360 controller for windows or logitech gamepads).",required,—,,,,
,,,,,,,,,,,
windows_min_Chop Goblins,windows_min_Chop Goblins
операционная система,"windows 7 (sp1+), windows 10 and windows 11"
процессор,"x86, x64 architecture with instruction set support."
видео карта,"dx10, dx11, dx12 capable."
directx,version 10
,
windows_min_Arma Reforger,windows_min_Arma Reforger,windows_req_Arma Reforger,windows_req_Arma Reforger
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4460 / amd fx-4300,процессор,intel core i7-6700 or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1650 or similar,видео карта,nvidia geforce gtx 1070 ti or amd equivalent
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
звуковая карта,directx-compatible,звуковая карта,directx-compatible
,,,
windows_min_Worms World Party Remastered,windows_min_Worms World Party Remastered
операционная система,windows xp
процессор,dual core cpu 2.4 ghz
оперативная память,2 gb
видео карта,"intel hd graphics 4000, nvidia geforce 8000, ati radeon hd 4800 series"
directx,version 9.0
диск,1 gb
звуковая карта,windows compatible card
,
windows_min_3030 Deathwar Redux - A Space Odyssey,windows_min_3030 Deathwar Redux - A Space Odyssey
операционная система,windows
процессор,1 ghz
оперативная память,1 gb
диск,500 mb
,
windows_min_Mega Man X Legacy Collection 2,windows_min_Mega Man X Legacy Collection 2,windows_req_Mega Man X Legacy Collection 2,windows_req_Mega Man X Legacy Collection 2
операционная система,windows 7 (64bit),операционная система,"windows7, 8, 8.1, 10 (64bit)"
процессор,intel core™ i3 550 3.2ghz or amd equivalent,процессор,intel core™ i5 3570 3.4ghz or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 or ati radeon™ hd 7850,видео карта,nvidia geforce gtx 760
directx,version 10,directx,version 11
диск,7 gb,диск,7 gb
звуковая карта,directsound (directx 10.0c ),звуковая карта,directsound (directx 10.0c )
,,,
windows_min_Valfaris,windows_min_Valfaris
операционная система,"windows xp, vista, 7 or 8"
процессор,1.5 ghz or faster
оперативная память,1 gb
,
windows_min_Dead Age 2: The Zombie Survival RPG,windows_min_Dead Age 2: The Zombie Survival RPG,windows_req_Dead Age 2: The Zombie Survival RPG,windows_req_Dead Age 2: The Zombie Survival RPG
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-3470 or amd ryzen 3 1200,процессор,intel cpu core i7-3770 or amd ryzen 5 1600
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce 2 gb or radeon 2 gb with direct x 11 support,видео карта,geforce gtx 1060 6 gb or amd radeon rx 590
directx,version 11,directx,version 11
диск,7 gb,диск,7 gb
,,,
windows_min_Diluvion: Resubmerged,windows_min_Diluvion: Resubmerged
операционная система,osx
процессор,intel i5 ()
оперативная память,4 gb
видео карта,geforce gt 300 series ()
directx,version 10
,
windows_min_Kingdoms Rise,windows_min_Kingdoms Rise,windows_req_Kingdoms Rise,windows_req_Kingdoms Rise
операционная система,windows xp,операционная система,—
процессор,intel core 2 duo 2.4 ghz or amd athlon x2 2.7 ghz,процессор,—
оперативная память,1500 mb,оперативная память,—
