windows_min_Tiger Striker,windows_min_Tiger Striker
видео карта,nvidia geforce gtx 560,видео карта,nvidia geforce gtx 660 or amd radeon hd 7950
directx,version 11,directx,version 11
,,,
windows_min_Call of DutyЃ: Ghosts - Nebula Pack,windows_min_Call of DutyЃ: Ghosts - Nebula Pack,windows_req_Call of DutyЃ: Ghosts - Nebula Pack,windows_req_Call of DutyЃ: Ghosts - Nebula Pack
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Wrecked,windows_min_Wrecked,windows_req_Wrecked,windows_req_Wrecked,macos_min_Wrecked,macos_min_Wrecked,macos_req_Wrecked,macos_req_Wrecked,linux_min_Wrecked,linux_min_Wrecked,linux_req_Wrecked,linux_req_Wrecked
операционна€ система,windows xp,операционна€ система,windows 10,операционна€ система,mac os 10.4,операционна€ система,mac os 10.7,операционна€ система,linux,операционна€ система,linux
процессор,intel pentium,процессор,intel i5,процессор,intel pentium,процессор,intel i5,процессор,intel pentium,процессор,intel i5
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,geforce 800m,видео карта,nvidia gtx 750ti,видео карта,geforce 800m,видео карта,nvidia gtx 750ti,видео карта,geforce 800m,видео карта,nvidia gtx 750ti
directx,version 9.0,directx,version 12,диск,600 mb,диск,1000 mb,диск,600 mb,диск,1000 mb
,,,,,,,,,,,
windows_min_Modern Combat Versus,windows_min_Modern Combat Versus,windows_req_Modern Combat Versus,windows_req_Modern Combat Versus
операционна€ система,windows 7 sp1,операционна€ система,windows 10
процессор,intel(r) core(tm) i3 cpu @ 2.93ghz,процессор,intel(r) core(tm) i5 cpu @ 3.10ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,"intel(r) hd graphics 4000, intel(r) hd graphics 5500, intel(r) hd graphics 510, intel(r) hd graphics 515, amd radeon(tm) r4 graphics, amd radeon(tm) r5 graphics",видео карта,"intel(r) hd graphics 520, intel(r) hd graphics 530, intel(r) hd graphics 620, intel(r) hd graphics 630, nvidia geforce gt 730, nvidia geforce gtx 750 ti"
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
звукова€ карта,any,звукова€ карта,any
,,,
windows_min_War Robots VR: The Skirmish,windows_min_War Robots VR: The Skirmish,windows_req_War Robots VR: The Skirmish,windows_req_War Robots VR: The Skirmish
операционна€ система,windows 7 64bit,операционна€ система,windows 10 64bit
процессор,intel core i5 - 4590,процессор,intel core i5-6600
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Call of DutyЃ: Ghosts - Onslaught,windows_min_Call of DutyЃ: Ghosts - Onslaught,windows_req_Call of DutyЃ: Ghosts - Onslaught,windows_req_Call of DutyЃ: Ghosts - Onslaught
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 Ц 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_EVIL STAR,windows_min_EVIL STAR,windows_req_EVIL STAR,windows_req_EVIL STAR
операционна€ система,mac os,операционна€ система,mac os
процессор,все,процессор,все
видео карта,все,видео карта,все
directx,version 9.0,directx,version 9.0
диск,300 mb,диск,900 mb
,,,
windows_min_DOOM Soundtrack,windows_min_DOOM Soundtrack
,
windows_min_ (Blade),windows_min_ (Blade),windows_req_ (Blade),windows_req_ (Blade)
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel i5-4430,процессор,amd ryzen 7 1600
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,geforce gtx 1050ti 4gb,видео карта,geforce gtx 1070 6gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Riding Club Championships,windows_min_Riding Club Championships,windows_req_Riding Club Championships,windows_req_Riding Club Championships
операционна€ система,mountain lion (10.8),операционна€ система,el capitan (10.13)
процессор,dual core cpu 2.0 ghz (intel core 2 duo or athlon x2),процессор,quad core cpu 2.0 ghz (core i5)
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,4 gb
видео карта,dedicated graphics card (nvidia geforce 8800 gt ),видео карта,dedicated graphics card (geforce gtx 650 / amd radeon hd 7770 series ).
directx,version 9.0c,directx,version 11
диск,1 gb,диск,1 gb
,,,
windows_min_Crisis on the Planet of the Apes,windows_min_Crisis on the Planet of the Apes,windows_req_Crisis on the Planet of the Apes,windows_req_Crisis on the Planet of the Apes
операционна€ система,windows 8.1,операционна€ система,windows 7 sp1
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350",процессор,intel i5-4590 / amd ryzen 5 1500x
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 1050 ti / amd radeon rx 470,видео карта,nvidia gtx 1060 / amd radeon rx 480
диск,8 gb,диск,8 gb
,,,
windows_min_Secret Neighbor Beta,windows_min_Secret Neighbor Beta,windows_req_Secret Neighbor Beta,windows_req_Secret Neighbor Beta
операционна€ система,windows 7,операционна€ система,windows 7/8/10
процессор,"intel core i3-540 3.05 ghz, athlon ii x3 460 3.4 ghz",процессор,"intel core i3-3250 3.5 ghz, athlon ii x4 860k 3.7 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,"nvidia geforce gtx 650 ti, radeon hd 7870",видео карта,"nvidia geforce gtx 760, radeon r9 270"
,,,
windows_min_DARK SOULSЩ II Crown of the Sunken King,windows_min_DARK SOULSЩ II Crown of the Sunken King,windows_req_DARK SOULSЩ II Crown of the Sunken King,windows_req_DARK SOULSЩ II Crown of the Sunken King
операционна€ система,"windows vista sp2, windows 7 sp1, windows 8",операционна€ система,"windows 7 sp1, windows 8"
процессор,amd phenom iiЩ x2 555 3.2ghz or intel pentium core Щ 2 duo e8500 3.17ghz,процессор,intel coretm i3 2100 3.10ghz or amd a8 3870k 3.0ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,Ч
видео карта,"nvidia geforce 9600gt, ati radeonЩ hd 5870",видео карта,nvidia geforce gtx 750 or ati radeonЩ hd 6870 or higher
directx,version 9.0,directx,version 9.0
звукова€ карта,directx 9 sound device,звукова€ карта,directx 9 sound device
дополнительно,controller support: microsoft xbox 360 controller for windows () recommended,дополнительно,controller support: microsoft xbox 360 controller for windows () recommended
,,,
windows_min_Tom Clancy's Rainbow SixЃ Siege - Pro League Lesion Set,windows_min_Tom Clancy's Rainbow SixЃ Siege - Pro League Lesion Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Pro League Lesion Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Pro League Lesion Set
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870 (directx-11 compliant with 1gb of vram),видео карта,nvidia geforce gtx 670 (or gtx 760 / gtx 960) or amd radeon hd 7970 (or r9 280x [2gb vram] / r9 380 / fury x)
диск,30 gb,диск,47 gb
звукова€ карта,directx 9.0c compatible sound card with latest drivers,звукова€ карта,directx 9.0c compatible sound card 5.1 with latest drivers
,,,
windows_min_Infinite Skyline,windows_min_Infinite Skyline,windows_req_Infinite Skyline,windows_req_Infinite Skyline
операционна€ система,windows xp or higher,операционна€ система,windows 10
процессор,intel i3,процессор,intel i7 4770
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,intel hd 4600,видео карта,gtx 970
directx,version 9.0,directx,version 10
,,,
