windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
directx,version 10,directx,version 10
,,,
windows_min_Wick,windows_min_Wick,windows_req_Wick,windows_req_Wick
операционная система,10.6.6,операционная система,10.9.5
процессор,2.5 ghz intel core i5,процессор,2.7 ghz intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 2600 / nvidia geforce 8800,видео карта,amd radeon hd 6770m 512mb
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,2 gb
,,,
windows_min_Devil's Hunt,windows_min_Devil's Hunt
операционная система,windows 7 / 8.1 / 10
процессор,intel i5 quad core
оперативная память,8 gb
видео карта,2gb graphics card
directx,version 11
диск,26 gb
звуковая карта,integrated or dedicated directx 11 compatible soundcard
,
windows_min_Ace of Seafood,windows_min_Ace of Seafood
операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core 2 duo 2ghz or higher
оперативная память,1 gb
видео карта,"directx 11 supported gpugeforce gtx 400 series, or radeon hd 6000 series"
directx,version 11
сеть,широкополосное подключение
диск,1 gb
,
windows_min_Rock of Ages 3: Make & Break,windows_min_Rock of Ages 3: Make & Break,windows_req_Rock of Ages 3: Make & Break,windows_req_Rock of Ages 3: Make & Break
операционная система,windows 7/8.1/10,операционная система,windows 7/8.1/10
процессор,intel core i5-760 2.8 ghz / amd athlon x4 740 3.2 ghz,процессор,intel core i7-4771 3.5 ghz / amd fx-9370 4.4 ghz
оперативная память,8 gb,оперативная память,8 gb
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
видео карта,—,видео карта,nvidia geforce gtx 970 (4 gb vram) / amd radeon rx 470 (4 gb vram)
,,,
windows_min_STAR WARS™ Starfighter™,windows_min_STAR WARS™ Starfighter™
операционная система,windows xp/vista/7/8/10
процессор,"350 mhz pentium ii, athlon class, cpu"
оперативная память,64 mb required. 128 mb required for windows 2000 and xp.
видео карта,16 mb directx 8 compatible pci or agp video card
directx,directx 8.0
диск,620 mb
,
windows_min_Killer Queen Black,windows_min_Killer Queen Black,windows_req_Killer Queen Black,windows_req_Killer Queen Black
операционная система,os x 10.14,операционная система,os x 10.14
процессор,1ghz,процессор,2ghz
оперативная память,4 gb,оперативная память,8 gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,600 mb,диск,600 mb
,,,
windows_min_Yaga,windows_min_Yaga,windows_req_Yaga,windows_req_Yaga
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,intel cpu core i3-2500k 2.0ghz+ / amd cpu phenom ii 570,процессор,intel cpu core i3-2500k 2.0ghz+ / amd cpu phenom ii 570
оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce 8800 gtx, gt640, gt730, radeon hd 5850, hd graphics 530",видео карта,"geforce 8800 gtx, gt640, gt730, radeon hd 5850, hd graphics 530"
directx,version 10,directx,version 10
диск,3 gb,диск,3 gb
,,,
windows_min_Virtual Battlegrounds,windows_min_Virtual Battlegrounds,windows_req_Virtual Battlegrounds,windows_req_Virtual Battlegrounds
операционная система,windows 10,операционная система,windows 10
процессор,i5 s,процессор,i7 s
оперативная память,8 gb,оперативная память,16 gb
,,,
windows_min_FEIST,windows_min_FEIST,windows_req_FEIST,windows_req_FEIST,macos_min_FEIST,macos_min_FEIST,macos_req_FEIST,macos_req_FEIST,linux_min_FEIST,linux_min_FEIST,linux_req_FEIST,linux_req_FEIST
операционная система,windows vista sp1,операционная система,windows vista sp1,операционная система,os x 10.9,операционная система,mac os x 10.10,операционная система,ubuntu 12.04 / steamos,операционная система,ubuntu 12.04 / steamos
процессор,intel core i3,процессор,intel core i7,процессор,intel core i3,процессор,intel core i7,процессор,intel core i3,процессор,intel core i7
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,nvidia gtx 280 / ati radeon hd 4870,видео карта,intel hd 4000,видео карта,nvidia gt 750m,видео карта,intel hd 4000,видео карта,nvidia gtx 280 / ati radeon hd 4870
directx,version 9.0,directx,version 9.0,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_Rocket League® - Chaos Run DLC Pack,windows_min_Rocket League® - Chaos Run DLC Pack,windows_req_Rocket League® - Chaos Run DLC Pack,windows_req_Rocket League® - Chaos Run DLC Pack
операционная система,macos x 10.8.5,операционная система,macos x 10.8.5
процессор,2.0 ghz dual core,процессор,2.0+ ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 8800 or ati 2900,видео карта,nvidia 260 series or ati 5850
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_Nature Calls,windows_min_Nature Calls,windows_req_Nature Calls,windows_req_Nature Calls
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core2,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce gtx 460,видео карта,nvidia geforce gtx 750
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Gal*Gun VR,windows_min_Gal*Gun VR,windows_req_Gal*Gun VR,windows_req_Gal*Gun VR
операционная система,windows 7 -,операционная система,windows 10 -
процессор,intel core i5-4670 / amd fx 8350,процессор,intel core i5-4670 / amd fx 8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970 / amd radeon rx 570,видео карта,nvidia geforce gtx 1080 / amd radeon rx 480
directx,version 11,directx,—
,,,
windows_min_Objects in Space,windows_min_Objects in Space,windows_req_Objects in Space,windows_req_Objects in Space,macos_min_Objects in Space,macos_min_Objects in Space,macos_req_Objects in Space,macos_req_Objects in Space,linux_min_Objects in Space,linux_min_Objects in Space,linux_req_Objects in Space,linux_req_Objects in Space
операционная система,windows 7,операционная система,windows 10,операционная система,mac os x 10.10 yosemite,операционная система,mac os x 10.13 high sierra,операционная система,"steamos, ubuntu 18.04.2 lts",операционная система,"steamos, ubuntu 18.04.2 lts"
процессор,intel i5 or faster,процессор,intel i7,процессор,intel i5 or faster,процессор,intel i7,процессор,intel i5 or faster,процессор,intel i7
оперативная память,2 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,2gb directx 10.1 compatible graphics card,видео карта,2gb directx 10.1 compatible graphics card,видео карта,1gb graphics memory,видео карта,2gb+ graphics memory,видео карта,1gb graphics memory,видео карта,2gb+ graphics memory
,,,,,,,,,,,
windows_min_Escape Goat,windows_min_Escape Goat,macos_min_Escape Goat,macos_min_Escape Goat,linux_min_Escape Goat,linux_min_Escape Goat
операционная система,windows xp service pack 3,операционная система,snow leopard 10.6.8,операционная система,"glibc 2.15+, 32/. s3tc support is not required."
процессор,dual core cpu,процессор,dual core cpu,процессор,dual core cpu
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,directx 9.0c compatible video card,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
directx,version 9.0c,диск,100 mb,,
,,,,,
windows_min_APB Reloaded,windows_min_APB Reloaded,windows_req_APB Reloaded,windows_req_APB Reloaded
операционная система,windows xp,операционная система,windows vista / windows 7
процессор,intel core 2 duo e6420 (2.13ghz) or amd athlon x2 5800+ (3.0ghz),процессор,2.4ghz intel core 2 quad amd x4
оперативная память,3 gb,оперативная память,4 gb
видео карта,"geforce 7800 with 256mb and support for pixel shader 3.0, or amd equivalent",видео карта,geforce 8800gt 512mb or amd equivalent
directx,dx90c,directx,dx90c
диск,7 gb hd space,диск,7 gb hd space
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_STAR WARS™: TIE Fighter Special Edition,windows_min_STAR WARS™: TIE Fighter Special Edition
