windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,—
видео карта,minimal requirements,видео карта,nvidia 7xx or radeon equivalent
directx,version 10,directx,version 11
диск,100 mb,диск,100 mb
,,,
windows_min_Starr Mazer: DSP,windows_min_Starr Mazer: DSP,macos_min_Starr Mazer: DSP,macos_min_Starr Mazer: DSP,linux_min_Starr Mazer: DSP,linux_min_Starr Mazer: DSP
операционная система,windows 7 or higher,операционная система,10.6 or higher,операционная система,ubuntu 14.04 or higher
процессор,1 ghz cpu,процессор,1 ghz cpu,процессор,1 ghz cpu
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
,,,,,
windows_min_Risky Rescue,windows_min_Risky Rescue,macos_min_Risky Rescue,macos_min_Risky Rescue,linux_min_Risky Rescue,linux_min_Risky Rescue
операционная система,windows 7,операционная система,osx 10,операционная система,ubuntu 12.4
процессор,1.0 ghz,процессор,1.0 ghz,процессор,1.0 ghz
,,,,,
windows_min_Kidnapped,windows_min_Kidnapped,windows_req_Kidnapped,windows_req_Kidnapped,macos_min_Kidnapped,macos_min_Kidnapped,macos_req_Kidnapped,macos_req_Kidnapped,linux_min_Kidnapped,linux_min_Kidnapped,linux_req_Kidnapped,linux_req_Kidnapped
операционная система,windows vista / 7 / 8,операционная система,windows vista / 7 / 8,операционная система,mac osx 10.7,операционная система,mac osx 10.10,операционная система,ubuntu 14.04 (trusty tahr),операционная система,ubuntu 14.04 (trusty tahr)
процессор,dual core intel or amd 3 ghz,процессор,"quad-core intel or amd, 4 ghz or faster",процессор,intel core i5 or i7 or amd equivalent,процессор,intel core i5 or i7 or amd equivalent,процессор,"intel core™ 2 duo / amd athlon™ x2, min. 2.4 ghz",процессор,"intel core™ 2 quad / amd phenom™ x4, min. 3,4 ghz"
оперативная память,6 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 9600gt,видео карта,nvidia geforce 580 gtx or amd radeon 6970 hd series card,диск,2 gb,диск,2 gb,видео карта,nvidia / amd with 256 mb memory,видео карта,nvidia / amd with 512 mb memory
directx,version 9.0c,directx,version 10,,,,,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,,,,,,,,
,,,,,,,,,,,
windows_min_SwarmZ,windows_min_SwarmZ
операционная система,windows vista
процессор,"intel core i5 4590, amd fx 8320"
оперативная память,8 gb
видео карта,(directx 11) amd radeon hd 5770 1024mb |; nvidia gts 450 1024mb |; intel hd4000 @720p.
directx,version 11
,
windows_min_RPG World - Action RPG Maker,windows_min_RPG World - Action RPG Maker,windows_req_RPG World - Action RPG Maker,windows_req_RPG World - Action RPG Maker
операционная система,"7, 8, 10 - ()",операционная система,"7, 8, 10 - ()"
процессор,intel dual-core 2ghz or amd dual-core 2ghz,процессор,intel quad-core (i5 2300) or amd octo-core (fx 8150)
оперативная память,2 gb,оперативная память,2 gb
видео карта,directx11 shader model 5 capable gpu,видео карта,directx11 shader model 5 capable gpu
directx,version 11,directx,version 11
