windows_min_Hitman: Absolution™,windows_min_Hitman: Absolution™,windows_req_Hitman: Absolution™,windows_req_Hitman: Absolution™
видео карта,nvidia geforce gtx 670 (2gb) or amd radeon r9 270x (2gb),видео карта,nvidia geforce gtx 970 (4gb) or amd radeon r9 290x (4gb)
диск,30 gb,диск,30 gb
звуковая карта,directx 9.0c compatible sound card with latest drivers,звуковая карта,directx 9.0c compatible sound card with latest drivers
,,,
windows_min_Red Orchestra 2: Heroes of Stalingrad with Rising Storm,windows_min_Red Orchestra 2: Heroes of Stalingrad with Rising Storm,windows_req_Red Orchestra 2: Heroes of Stalingrad with Rising Storm,windows_req_Red Orchestra 2: Heroes of Stalingrad with Rising Storm
операционная система,windows xp/vista/7,операционная система,windows xp/vista/7
процессор,dual core 2.3 ghz,процессор,quad core 2.6 ghz
оперативная память,2 gb,оперативная память,3 gb
видео карта,256 mb sm 3.0 dx9 compliant nvidia geforce 7800 gtx ati radeon hd 2900 gt,видео карта,512 mb sm 3.0 dx9 compliant nvidia geforce gtx 260 ati radeon hd 5750
directx,directx 9.0c,directx,—
диск,23 gb free hard drive space,диск,23 gb free hard drive space
звуковая карта,windows supported sound card,звуковая карта,sound blaster audigy
,,,
windows_min_State of Decay 2: Juggernaut Edition,windows_min_State of Decay 2: Juggernaut Edition,windows_req_State of Decay 2: Juggernaut Edition,windows_req_State of Decay 2: Juggernaut Edition
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-2500 @2.7ghz / amd fx-6300,процессор,intel i5 4570 @ 3.2ghz / amd fx-8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 2gb / amd radeon hd 7870,видео карта,nvidia geforce gtx 1650 4gb / amd radeon r9 380
directx,version 11,directx,version 11
диск,30 gb,диск,30 gb
звуковая карта,directx compatible,звуковая карта,—
дополнительно,internet connection required for initial sign-in. free xbox live account required to play.,дополнительно,—
,,,
windows_min_Spec Ops: The Line,windows_min_Spec Ops: The Line,windows_req_Spec Ops: The Line,windows_req_Spec Ops: The Line
операционная система,"ubuntu 14.10, mint 17.1 or similar linux distribution",операционная система,—
процессор,intel core 2 duo 2.4 ghz / amd athlon x2 2.7 ghz,процессор,—
оперативная память,4gb,оперативная память,—
диск,6 gb free,диск,—
видео карта,nvidia/amd opengl 4.1 / opengl level 3.2 compatible video: 512mb,видео карта,—
directx,9.0,directx,9.0
звуковая карта,alsa/pulseaudio compatiblerecommended graphics driversnvidia: nvidia 340.65 . 331 series are unsupported.amd: amd catalyst (aka fglrx) 14.12 mesa drivers and intel graphics are not currently supported.,звуковая карта,—
additional,initial installation requires one-time internet connection for steam authentication; software installations required (included with the game). two button mouse recommended.,additional,initial installation requires one-time internet connection for steam authentication; software installations required (included with the game). two button mouse recommended.
osx,10.7.5,osx,—
,,,
windows_min_Overcooked! 2,windows_min_Overcooked! 2,windows_req_Overcooked! 2,windows_req_Overcooked! 2,macos_min_Overcooked! 2,macos_min_Overcooked! 2,macos_req_Overcooked! 2,macos_req_Overcooked! 2,linux_min_Overcooked! 2,linux_min_Overcooked! 2,linux_req_Overcooked! 2,linux_req_Overcooked! 2
операционная система,win7-,операционная система,win7 -,операционная система,macos sierra - 10.12.6,операционная система,macos high sierra - 10.13.1,операционная система,mint 18 / ubuntu 16.04.01,операционная система,mint 18 / ubuntu 16.04.01
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k,процессор,2.7 ghz intel core i5,процессор,3.1 ghz intel core i5,процессор,intel i3-2100 / amd a8-5600k,процессор,3.1 ghz intel core i5
оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510,видео карта,nvidia geforce gt 640m,видео карта,amd radeon pro 560 / nvidia geforce gtx 780m,видео карта,geforce 450gts,видео карта,amd radeon pro 560 / nvidia geforce gtx 780m
directx,version 11,directx,—,диск,3 gb,диск,—,диск,3 gb,диск,—
диск,3 gb,диск,—,звуковая карта,—,звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,,,,,,,,,
windows_min_STAR WARS™ Battlefront™ II,windows_min_STAR WARS™ Battlefront™ II,windows_req_STAR WARS™ Battlefront™ II,windows_req_STAR WARS™ Battlefront™ II
операционная система,windows 7 sp1/windows 8.1/windows 10,операционная система,windows 10
процессор,(amd): amd fx 6350 (intel): intel core i5 6600k,процессор,(amd): amd fx 8350 wraith (intel): intel core i7 6700
оперативная память,8 gb,оперативная память,16 gb
видео карта,graphics card (amd): amd radeon™ hd 7850 2gb graphics card (nvidia): nvidia geforce gtx 660 2gb,видео карта,graphics card (amd): amd radeon™ rx 480 4gb graphics card (nvidia): nvidia geforce gtx 1060 3gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Ryse: Son of Rome,windows_min_Ryse: Son of Rome,windows_req_Ryse: Son of Rome,windows_req_Ryse: Son of Rome
операционная система,windows vista / windows 7 / windows 8,операционная система,windows vista / windows 7 / windows 8
процессор,dual core with hyperthreading technology or quad core cpu (4+ logical s),процессор,quad core or six core cpu (6+ logical s)
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 11 graphics card with 1 gb video,видео карта,directx 11 graphics card with 2 gb video
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_Mafia III: Definitive Edition,windows_min_Mafia III: Definitive Edition,windows_req_Mafia III: Definitive Edition,windows_req_Mafia III: Definitive Edition
операционная система,macos 10.12.4,операционная система,—
процессор,intel core i5 (4 cores) 3.2 ghz,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,amd radeon r9 m290x 2gb vram,видео карта,—
диск,50 gb,диск,—
звуковая карта,directx compliant sound card,звуковая карта,directx compliant sound card
,,,
windows_min_Battlerite,windows_min_Battlerite
операционная система,windows xp
процессор,dual core from intel or amd at 2.8 ghz
оперативная память,4 gb
видео карта,intel hd 3000
directx,version 9.0c
сеть,широкополосное подключение
диск,3000 mb
,
windows_min_The Talos Principle,windows_min_The Talos Principle,windows_req_The Talos Principle,windows_req_The Talos Principle,macos_min_The Talos Principle,macos_min_The Talos Principle,macos_req_The Talos Principle,macos_req_The Talos Principle,linux_min_The Talos Principle,linux_min_The Talos Principle,linux_req_The Talos Principle,linux_req_The Talos Principle
операционная система,windows 7,операционная система,windows 7,операционная система,osx version lion 10.7,операционная система,osx version lion 10.7,операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
