windows_min_SWAT 3: Tactical Game of the Year Edition,windows_min_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition
процессор,intel™ pentium 4 2.4 ghz with hyper threading,процессор,intel™ core 2 duo / amd™ athlon 64 x2 or higher
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,"nvidia geforce™ 200 series or higher, amd radeon™ hd5000 series or higher (it must be able to manage pixel shader 3.0) with at least 512mb of display memory."
directx,version 11,directx,version 11
,,,
windows_min_Master Spy,windows_min_Master Spy
операционная система,osx 10.9.5
процессор,2 ghz dual core
оперативная память,2 gb
,
windows_min_Collision Course,windows_min_Collision Course,windows_req_Collision Course,windows_req_Collision Course
операционная система,"windows 7, 8.1, 10 ( only)",операционная система,"windows 7, 8.1, 10 ( only)"
процессор,intel dual-core e6600 or amd equivalent,процессор,intel quad-core (i5 2300) or amd octo-core (fx 8150)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 570+ or amd radeon hd 6950+,видео карта,"nvidia geforce 970, amd radeon rx480"
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_SHOWTIME 2073,windows_min_SHOWTIME 2073,macos_min_SHOWTIME 2073,macos_min_SHOWTIME 2073,linux_min_SHOWTIME 2073,linux_min_SHOWTIME 2073
операционная система,7 ++,операционная система,osx,операционная система,все
процессор,dual core,видео карта,fx,видео карта,fx
оперативная память,2000 mb,звуковая карта,any,звуковая карта,any
видео карта,fx,,,,
,,,,,
windows_min_Fighties,windows_min_Fighties
операционная система,mac os x 10.6 snow leopard
процессор,1.2 ghz
оперативная память,1 gb
,
windows_min_Vector 36,windows_min_Vector 36,windows_req_Vector 36,windows_req_Vector 36,macos_min_Vector 36,macos_min_Vector 36,macos_req_Vector 36,macos_req_Vector 36,linux_min_Vector 36,linux_min_Vector 36,linux_req_Vector 36,linux_req_Vector 36
операционная система,windows xp sp2+,операционная система,windows 7+,операционная система,mac os x 10.8+,операционная система,—,операционная система,"ubuntu 12.04+, steamos+",операционная система,—
