windows_min_The Godfather 2,windows_min_The Godfather 2
операционна€ система,windows xp or higher
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450
directx,version 11
диск,22 gb
,
windows_min_JUMP FORCE - Characters Pass,windows_min_JUMP FORCE - Characters Pass,windows_req_JUMP FORCE - Characters Pass,windows_req_JUMP FORCE - Characters Pass
операционна€ система,windows 7/8/10 ( os required),операционна€ система,windows 7/8/10 ( os required)
процессор,"intel core i5-2300, 2.80 ghz / amd a10-7850k, 3.70 ghz",процессор,intel core i7-6700 / amd ryzen 5 1400
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"geforce gtx 660 ti, 3 gb / radeon hd 7950, 3 gb",видео карта,geforce gtx 1060 / radeon r9 fury
directx,version 11,directx,version 11
диск,17 gb,диск,17 gb
,,,
windows_min_The Unreal Journey of Mongol,windows_min_The Unreal Journey of Mongol,windows_req_The Unreal Journey of Mongol,windows_req_The Unreal Journey of Mongol
операционна€ система,"win7,win8,win10",операционна€ система,"win7,win8,win10"
процессор,intel core i3,процессор,intel core i7
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb
видео карта,dedicated graphics card,видео карта,nvidia geforce gtx 1060 6gb
directx,version 9.0,directx,version 12
диск,1 gb,диск,1 gb
,,,
windows_min_Fate/EXTELLA LINK - Candy Pink,windows_min_Fate/EXTELLA LINK - Candy Pink
операционна€ система,windows 7+
процессор,intel core i5-760 @ 2.8 ghz
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 750
directx,version 11
диск,14 gb
,
windows_min_Street Fighter X Tekken: SF Booster Pack 5,windows_min_Street Fighter X Tekken: SF Booster Pack 5,windows_req_Street Fighter X Tekken: SF Booster Pack 5,windows_req_Street Fighter X Tekken: SF Booster Pack 5
,,,
windows_min_Elsword Free-to-Play,windows_min_Elsword Free-to-Play,windows_req_Elsword Free-to-Play,windows_req_Elsword Free-to-Play
операционна€ система,windows 7 (32 bit),операционна€ система,windows 10 64bit
процессор,intel/amd 2 ghz,процессор,intel i5 or higher
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce 8600 gt,видео карта,nvidia gt 730 or higher
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Just CauseЩ 4: Digital Deluxe Content,windows_min_Just CauseЩ 4: Digital Deluxe Content,windows_req_Just CauseЩ 4: Digital Deluxe Content,windows_req_Just CauseЩ 4: Digital Deluxe Content
операционна€ система,windows 7 sp1 with platform update for windows 7 ( versions only),операционна€ система,windows 10 ( versions only)
процессор,intel core i5-2400 @ 3.1 ghz |; amd fx-6300 @ 3.5 ghz,процессор,intel core i7-4770 @ 3.4 ghz |; amd ryzen 5 1600 @ 3.2 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 760 (2gb vram ) |; amd r9 270 (2gb vram ),видео карта,nvidia geforce gtx 1070 (6gb vram ) |; amd vega 56 (6gb vram )
directx,version 11,directx,version 11
,,,
windows_min_Testbed Terror,windows_min_Testbed Terror,windows_req_Testbed Terror,windows_req_Testbed Terror
операционна€ система,windows xp,операционна€ система,windows 10
процессор,intel coreЩ i3-4130t (2.9 ghz dual core),процессор,intel coreЩ i5-5287u (2.9 ghz dual core)
оперативна€ пам€ть,1024 mb,оперативна€ пам€ть,2048 mb
видео карта,geforce gtx 750,видео карта,geforce gtx 750ti
directx,version 9.0,directx,version 12
диск,3 gb,диск,3 gb
,,,
windows_min_RESIDENT EVIL 2 - Leon Costume: Arklay Sheriff,windows_min_RESIDENT EVIL 2 - Leon Costume: Arklay Sheriff,windows_req_RESIDENT EVIL 2 - Leon Costume: Arklay Sheriff,windows_req_RESIDENT EVIL 2 - Leon Costume: Arklay Sheriff
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,intel coreЩ i5-4460 or amd fxЩ-6300,процессор,intel coreЩ i7-3770 or amd fxЩ-9590
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeonЩ rx 480 with 3gb vram
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_AVATAR: Consolidate,windows_min_AVATAR: Consolidate,windows_req_AVATAR: Consolidate,windows_req_AVATAR: Consolidate
операционна€ система,"windows 7,8,10",операционна€ система,"windows 7,8,10"
процессор,intel dual-core 2.0 ghz,процессор,quad core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,1gb of vram shader model 3.0 and above,видео карта,2gb of vram shader model 3.0 and above
directx,version 9.0,directx,Ч
диск,5 gb,диск,10 gb
,,,
windows_min_Gum Guy,windows_min_Gum Guy
операционна€ система,windows 7
процессор,1.4ghz or faster
оперативна€ пам€ть,1024 mb
видео карта,nvidia gt/s 4xx
directx,version 9.0
,
