windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack
видео карта,nvidia geforce gtx 650 (2gb) (directx 11 card required),видео карта,nvidia geforce gtx 760 (directx 11 graphic card required)
directx,version 11,directx,version 11
диск,28 gb,диск,28 gb
,,,
windows_min_Paladins - Future's End Pack,windows_min_Paladins - Future's End Pack,windows_req_Paladins - Future's End Pack,windows_req_Paladins - Future's End Pack
операционна€ система,windows 7,операционна€ система,windows 8/10 (latest service pack)
процессор,core 2 duo 2.4 ghz or athlon x2 2.7 ghz,процессор,"intel core i5-750, 2.67 ghz / amd phenom ii x4 965, 3.4 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,nvidia geforce 8800 gt,видео карта,nvidia geforce gtx 660 or ati radeon hd 7950
диск,30 gb,диск,30 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Saints Row: The Third Z Style Pack,windows_min_Saints Row: The Third Z Style Pack,windows_req_Saints Row: The Third Z Style Pack,windows_req_Saints Row: The Third Z Style Pack
операционна€ система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster",операционна€ система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster"
процессор,intel core i5-4570t (2.9 ghz) or amd athlon ii x2 270 (3.8 ghz),процессор,intel core i5-4670k (3.4 ghz) or amd athlon x4 860k (3.7 ghz)
