windows_min_SOS Survival,windows_min_SOS Survival,windows_req_SOS Survival,windows_req_SOS Survival
видео карта,geforce 8300+ / ati radeon hd 2400+ with opengl 3.0,видео карта,geforce 9800+ / ati radeon hd 3800+ with opengl 3.0,видео карта,geforce 8300+ / ati radeon hd 2400+ with opengl 3.0,видео карта,geforce 9800+ / ati radeon hd 3800+ with opengl 3.0,видео карта,geforce 8300+ / ati radeon hd 2400+ with opengl 3.0,видео карта,geforce 9800+ / ati radeon hd 3800+ with opengl 3.0
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
диск,600 mb,диск,600 mb,диск,600 mb,диск,600 mb,диск,600 mb,диск,600 mb
,,,,,,,,,,,
windows_min_UNDEFEATED,windows_min_UNDEFEATED,windows_req_UNDEFEATED,windows_req_UNDEFEATED
операционная система,windows7 / 8 / 10 (64bit),операционная система,—
процессор,intel core i5 ,процессор,—
видео карта,nvidia geforce gtx 760 ,видео карта,—
диск,3 gb,диск,—
,,,
windows_min_Battle Grounds III,windows_min_Battle Grounds III,windows_req_Battle Grounds III,windows_req_Battle Grounds III
операционная система,windows 10/7/vista/xp,операционная система,windows 10/7
процессор,pentium 4,процессор,intel core™ 2 duo e6600 or amd phenom™ x3 8750
оперативная память,1 gb,оперативная память,2 gb
видео карта,directx 9 level graphics card with 256 mb or more,видео карта,directx 9 level graphics card with 1 gb or more
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
дополнительно,"mouse, keyboard",дополнительно,"mouse, keyboard, microphone"
,,,
