windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
windows_min_Halo: Spartan Strike,windows_min_Halo: Spartan Strike,windows_req_Halo: Spartan Strike,windows_req_Halo: Spartan Strike
операционная система,"windows 7, 8 and 8.1",операционная система,"windows 7, 8 and 8.1"
процессор,dual core,процессор,quad core
оперативная память,1 gb,оперативная память,2 gb
видео карта,"directx10 compatible graphics card w/ dedicated 512mb (ati radeon 3670, nvidia 8600 gt or intel hd 3000)",видео карта,directx10 compatible graphics card w/ dedicated 1gb
directx,version 10,directx,version 11
диск,2550 mb,диск,2550 mb
,,,
windows_min_Super Fancy Pants Adventure,windows_min_Super Fancy Pants Adventure,windows_req_Super Fancy Pants Adventure,windows_req_Super Fancy Pants Adventure
операционная система,mac osx v10.9 or above,операционная система,—
процессор,intel core i3 2.5 ghz,процессор,—
оперативная память,2048 mb,оперативная память,—
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Warbox,windows_min_Warbox,windows_req_Warbox,windows_req_Warbox
операционная система,windows 10,операционная система,windows 10
процессор,amd ryzen 3 1200,процессор,ryzen 2600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1050,видео карта,rx580
,,,
windows_min_Genesis Alpha One Deluxe Edition,windows_min_Genesis Alpha One Deluxe Edition,windows_req_Genesis Alpha One Deluxe Edition,windows_req_Genesis Alpha One Deluxe Edition
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3-4130 / amd fx-4350,процессор,core i5-4590 cpu @ 3.30ghz / amd fx 8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 / radeon hd 7950 or radeon r9 290,видео карта,geforce gtx 970 (4 gb) / radeon r9 390
диск,10 gb,диск,10 gb
,,,
windows_min_ONE PUNCH MAN: A HERO NOBODY KNOWS,windows_min_ONE PUNCH MAN: A HERO NOBODY KNOWS,windows_req_ONE PUNCH MAN: A HERO NOBODY KNOWS,windows_req_ONE PUNCH MAN: A HERO NOBODY KNOWS
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-2550,процессор,intel core i5-7400
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 570,видео карта,geforce gtx 680
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Laser League: World Arena,windows_min_Laser League: World Arena
операционная система,windows 7
процессор,intel core i3-4170 @ 3ghz or amd a 10-5800k apu @3.78ghz
оперативная память,4 gb
видео карта,nvidia gforce gtx 670 or amd radeon r9 270x
directx,version 11
сеть,широкополосное подключение
диск,4 gb
звуковая карта,directx compatible sound card
,
windows_min_Dungeons & Dragons: Chronicles of Mystara,windows_min_Dungeons & Dragons: Chronicles of Mystara,windows_req_Dungeons & Dragons: Chronicles of Mystara,windows_req_Dungeons & Dragons: Chronicles of Mystara
операционная система,windows vista (does not support windows xp),операционная система,windows 7
процессор,intel dual core 1.8ghz (or higher) or amd athlon ii x2 (or higher),процессор,intel dual core 2.4ghz (or higher) or amd athlon ii x2 (or higher)
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia gf6600 (or higher) or ati x1600 (or higher) with 256mb of,видео карта,nvidia gf8000 (or higher) or ati x1800 (or higher) with 256mb of
directx,11,directx,11
диск,350 mb hd space,диск,350 mb hd space
звуковая карта,"directsound compatible, directx 9.0c (or higher) compatible",звуковая карта,"directsound compatible, directx 9.0c (or higher)"
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_Duck Season,windows_min_Duck Season,windows_req_Duck Season,windows_req_Duck Season
операционная система,windows 7,операционная система,windows 10
процессор,intel i5 4590,процессор,intel i7 6700
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970,видео карта,gtx 980 / gtx 1060
,,,
windows_min_Storm Chasers,windows_min_Storm Chasers,windows_req_Storm Chasers,windows_req_Storm Chasers
операционная система,windows 7,операционная система,windows 7
процессор,intel i5,процессор,intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 680,видео карта,nvidia gtx 780
directx,version 11,directx,version 11
,,,
windows_min_Crea,windows_min_Crea,macos_min_Crea,macos_min_Crea,linux_min_Crea,linux_min_Crea
операционная система,windows vista,операционная система,os x 10.7,операционная система,ubuntu 12.04 x64 lts
процессор,1.7+ ghz,процессор,2.0ghz intel cpu,процессор,1.7+ ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,256+mb and opengl 2.1 compatible gpu and 1024x768 resolution,видео карта,256+mb and opengl 2.1 compatible gpu and 1024x768 resolution,видео карта,256+mb and opengl 2.1 compatible gpu and 1024x768 resolution
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,
windows_min_Warface,windows_min_Warface,windows_req_Warface,windows_req_Warface
операционная система,"windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,core i3-530 / amd athlon ii x3 415e,процессор,core i5 3470 / amd athlon 240ge
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce 250 gts / radeon hd 4850,видео карта,geforce 1050 ti / radeon r9 380
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Iron Marines,windows_min_Iron Marines,windows_req_Iron Marines,windows_req_Iron Marines
операционная система,os x lion 10.7.5,операционная система,—
процессор,dual core cpu,процессор,—
оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.0 compliant with 512mb of video. mesa 14 .,видео карта,—
,,,
windows_min_PICO PARK,windows_min_PICO PARK,windows_req_PICO PARK,windows_req_PICO PARK
операционная система,windows 7 64bit,операционная система,windows 7 64bit
оперативная память,4 gb,оперативная память,4 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb"
