видео карта,"nvidia geforce 760, amd radeon r7 270x,",видео карта,"nvidia geforce gtx 1060, amd radeon rx 470,",видео карта,"nvidia geforce 760, amd radeon r7 270x,",видео карта,"nvidia geforce gtx 1060, amd radeon rx 470,",видео карта,"nvidia geforce 760, amd radeon r7 270x,",видео карта,"nvidia geforce gtx 1060, amd radeon rx 470,"
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_BossConstructor,windows_min_BossConstructor,windows_req_BossConstructor,windows_req_BossConstructor,macos_min_BossConstructor,macos_min_BossConstructor,macos_req_BossConstructor,macos_req_BossConstructor,linux_min_BossConstructor,linux_min_BossConstructor,linux_req_BossConstructor,linux_req_BossConstructor
операционная система,windows vista/7/8/10,операционная система,windows 7/8/10,операционная система,mac os x 10.6 (snow leopard),операционная система,mac os x 10.6 (snow leopard),операционная система,ubuntu 12.04,операционная система,ubuntu 14.04
процессор,"intel core i3-6100, amd fx-6100",процессор,"intel core i5-3570k, amd fx-6300",оперативная память,2 gb,оперативная память,4 gb,процессор,"intel core i5-3570k, amd fx-6300",процессор,"intel core i5-3570k, amd fx-6300"
оперативная память,2 gb,оперативная память,4 gb,диск,350 mb,диск,400 mb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce gtx 280, amd radeon hd 5770",видео карта,"nvidia geforce gtx 560, amd radeon hd 6850",дополнительно,mac os x 10.7 (lion) requires manual installation of the free java runtime environment (jre).,дополнительно,mac os x 10.7 (lion) requires manual installation of the free java runtime environment (jre).,видео карта,"nvidia geforce gtx 560, amd radeon hd 6850",видео карта,"nvidia geforce gtx 560, amd radeon hd 6850"
диск,400 mb,диск,500 mb,,,,,диск,350 mb,диск,400 mb
,,,,,,,,,,,
windows_min_Grass Cutter - Mutated Lawns,windows_min_Grass Cutter - Mutated Lawns,windows_req_Grass Cutter - Mutated Lawns,windows_req_Grass Cutter - Mutated Lawns,macos_min_Grass Cutter - Mutated Lawns,macos_min_Grass Cutter - Mutated Lawns,macos_req_Grass Cutter - Mutated Lawns,macos_req_Grass Cutter - Mutated Lawns,linux_min_Grass Cutter - Mutated Lawns,linux_min_Grass Cutter - Mutated Lawns,linux_req_Grass Cutter - Mutated Lawns,linux_req_Grass Cutter - Mutated Lawns
операционная система,windows xp,операционная система,windows 7,операционная система,mac os 10.8.4,операционная система,mac os 10.11,операционная система,ubuntu 14.04 and later,операционная система,—
процессор,1.6 ghz,процессор,2.0 ghz quad core,процессор,intel core i5 1.3 ghz,процессор,intel core i5 1.6 ghz,процессор,intel core duo or faster,процессор,—
оперативная память,1 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,—
видео карта,256 mb. vram,видео карта,512 mb. vram,видео карта,intel hd graphics 4000,видео карта,intel hd graphics 6000 or best,видео карта,256 mb. vram,видео карта,—
,,,,,,,,,,,
windows_min_Intrude,windows_min_Intrude
операционная система,windows 7
процессор,2.3 ghz
оперативная память,1 gb
видео карта,256 mb
directx,version 9.0c
диск,30 mb
,
windows_min_de Blob,windows_min_de Blob,windows_req_de Blob,windows_req_de Blob
операционная система,"windows 7 (32 or 64bit), windows 8, windows 10",операционная система,"windows 7 (32 or 64bit), windows 8, windows 10"
процессор,dual core cpu 2.50 ghz,процессор,dual core cpu 3 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce 310 with 1 gb vram,видео карта,geforce 650 with 2 gb vram
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Cosmic Dust & Rust,windows_min_Cosmic Dust & Rust
операционная система,windows xp/windows vista/windows 7/8/10
процессор,2.5 ghz
оперативная память,500 mb
видео карта,directx 9.0 compatible
диск,200 mb
,
windows_min_Pixel Boy and the Ever Expanding Dungeon,windows_min_Pixel Boy and the Ever Expanding Dungeon,windows_req_Pixel Boy and the Ever Expanding Dungeon,windows_req_Pixel Boy and the Ever Expanding Dungeon,macos_min_Pixel Boy and the Ever Expanding Dungeon,macos_min_Pixel Boy and the Ever Expanding Dungeon,macos_req_Pixel Boy and the Ever Expanding Dungeon,macos_req_Pixel Boy and the Ever Expanding Dungeon,linux_min_Pixel Boy and the Ever Expanding Dungeon,linux_min_Pixel Boy and the Ever Expanding Dungeon,linux_req_Pixel Boy and the Ever Expanding Dungeon,linux_req_Pixel Boy and the Ever Expanding Dungeon
операционная система,windows xp +,операционная система,windows 7/8,операционная система,osx 10.5+,операционная система,—,операционная система,most 32-bit and linux os,операционная система,—
процессор,dual core,процессор,quad core,процессор,dual core,процессор,—,процессор,dual core,процессор,—
оперативная память,1 gb,оперативная память,4 gb,оперативная память,1 gb,оперативная память,—,оперативная память,1 gb,оперативная память,—
видео карта,"256mb at least and nothing over... let's say, five years old.",видео карта,"the newest of the new is obviously recommended. how much of a difference it will make, well of that we're not sure.",видео карта,"256mb at least and nothing over... let's say, five years old.",видео карта,—,видео карта,"256mb at least and nothing over... let's say, five years old.",видео карта,—
диск,500 mb,диск,500 mb,диск,500 mb,диск,—,диск,500 mb,диск,—
дополнительно,"it shouldn't be too much of a feat to run pixel boy, but if you are trying to play on a modded refrigerator, purchase at your own risk.",дополнительно,"if these specs don't play it, there is probably something wrong with your computer, or you. also, the sound card was a joke, sorry, bad taste to all those that are still holding out for ...  the sound cards triumphant mainstream return.  еще",,,,,,,,
directx,—,directx,version 9.0,,,,,,,,
,,,,,,,,,,,
windows_min_Press F to pay respects,windows_min_Press F to pay respects,windows_req_Press F to pay respects,windows_req_Press F to pay respects
операционная система,windows xp sp2,операционная система,windows 7
процессор,pentium 4 1.5 ghz / athlon xp,процессор,pentium 4 1.5 ghz / athlon xp
оперативная память,512 mb,оперативная память,512 mb
видео карта,geforce 210 590mhz,видео карта,geforce 210 590mhz
,,,
windows_min_Drifter,windows_min_Drifter,macos_min_Drifter,macos_min_Drifter,linux_min_Drifter,linux_min_Drifter
операционная система,windows xp sp1,операционная система,os x 10.6,операционная система,ubuntu linux 12.04 lts
процессор,x86 1.5 ghz,процессор,x86-64 1.5 ghz,процессор,x86 1.5 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,256mb opengl 1.5 compatable,видео карта,256mb opengl 1.5 compatible,видео карта,256mb opengl 1.5 compatible
,,,,,
windows_min_Soul Saber 2,windows_min_Soul Saber 2,windows_req_Soul Saber 2,windows_req_Soul Saber 2
операционная система,"windows xp, 7, vista, 8, 10",операционная система,"windows xp, 7, vista, 8, 10"
процессор,core 2 duo 2.4ghz,процессор,core i5
оперативная память,1000 mb,оперативная память,4000 mb
видео карта,directx 9.0b compatible,видео карта,nvidia / amd (1gb vram)
directx,version 9.0b,directx,version 9.0b
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1000 mb,диск,1000 mb
звуковая карта,directsound compatible,звуковая карта,directsound compatible
,,,
windows_min_Dungeon Journey,windows_min_Dungeon Journey
операционная система,"windows xp, vista, 7, 8, 8.1, 10"
процессор,1 ghz
оперативная память,512 mb
видео карта,integrated or higher
диск,240 mb
,
"windows_min_John, The Zombie","windows_min_John, The Zombie","windows_req_John, The Zombie","windows_req_John, The Zombie"
операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1",операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1"
процессор,intel i3,процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia 9800 gt 1gb / amd hd 4870 1gb (dx 10, 10.1, 11)",видео карта,nvidia gtx 760 2gb / amd hd 7870 2gb
,,,
windows_min_War Blade,windows_min_War Blade,windows_req_War Blade,windows_req_War Blade
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-6100 / amd fx-6300,процессор,intel core i5-7400 / amd ryzen 3 1300x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 550ti or higher,видео карта,nvidia geforce gtx 750ti or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_ARSLAN: THE WARRIORS OF LEGEND,windows_min_ARSLAN: THE WARRIORS OF LEGEND,windows_req_ARSLAN: THE WARRIORS OF LEGEND,windows_req_ARSLAN: THE WARRIORS OF LEGEND
операционная система,"windows 10, windows 8.1, windows 7, windows vista (64bit)",операционная система,"windows 10, windows 8.1, windows 7, windows vista (64bit)"
процессор,core i7 870 2.8ghz,процессор,core i7 2600 3.4ghz
оперативная память,3 gb,оперативная память,4 gb
видео карта,"640*480 pixel over, high color",видео карта,"1980*1080 pixel over, true color, 16:9 display"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,11 gb,диск,11 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Cold War,windows_min_Cold War,windows_req_Cold War,windows_req_Cold War
операционная система,windows 98/me/2000/xp/7/8 (x86 and x64),операционная система,windows 98/me/2000/xp/7/8 (x86 and x64)
процессор,1.7 ghz cpu,процессор,2 ghz cpu
оперативная память,384 mb,оперативная память,1 gb
видео карта,"directx 9.0 compatible, nvidia geforce 3 (not geforce 4mx) / ati radeon 8500 with 64 mb video memory card",видео карта,directx 9.0 compatible with 256 mb vram (geforce 4ti or higher)
directx,version 9.0,directx,version 9.0
диск,1 gb,диск,1 gb
,,,
windows_min_Just In Time Incorporated,windows_min_Just In Time Incorporated
операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel i5-4590
оперативная память,4 gb
видео карта,"nvidia gtx 970, amd radeon r9 290"
directx,version 11
диск,1 gb
,
