windows_min_Buccaneers!,windows_min_Buccaneers!,windows_req_Buccaneers!,windows_req_Buccaneers!
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 1070 / amd gpu radeon rx vega 56 8gb
directx,version 11,directx,version 11
,,,
windows_min_Cuisine Royale - Advanced Pack,windows_min_Cuisine Royale - Advanced Pack,windows_req_Cuisine Royale - Advanced Pack,windows_req_Cuisine Royale - Advanced Pack
операционная система,windows 7 64bit /8 64bit /10 64bit,операционная система,windows 7 64bit /8 64bit /10 64bit
процессор,intel core i3,процессор,intel core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce 560, amd radeon 77xx",видео карта,"nvidia geforce 1060, amd radeon rx480"
directx,version 11,directx,version 11
,,,
windows_min_Guardian war VR,windows_min_Guardian war VR,windows_req_Guardian war VR,windows_req_Guardian war VR
операционная система,windows7sp1,операционная система,windows7sp1
процессор,2.8ghz i5 cpu,процессор,3.8ghz i7 cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 980
directx,version 11,directx,version 11
,,,
windows_min_INSIDE Demo,windows_min_INSIDE Demo,windows_req_INSIDE Demo,windows_req_INSIDE Demo
операционная система,windows 7/8/10 ( os required),операционная система,windows 8/10 ( os required)
процессор,"intel core 2 quad q6600 @ 2.4 ghz, amd fx 8120 @ 3.1 ghz",процессор,"intel i7 920 @ 2.7 ghz, amd phenom ii 945 @ 3.0 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia gt 630 / 650m, amd radeon hd6570",видео карта,"nvidia gtx 660, radeon r9-270"
directx,version 9.0c,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_DRAGON BALL FIGHTERZ - Gogeta (SSGSS),windows_min_DRAGON BALL FIGHTERZ - Gogeta (SSGSS),windows_req_DRAGON BALL FIGHTERZ - Gogeta (SSGSS),windows_req_DRAGON BALL FIGHTERZ - Gogeta (SSGSS)
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,"amd fx-4350, 4.2 ghz / intel core i5-3470, 3.20 ghz",процессор,"amd ryzen 5 1400, 3.2 ghz / intel core i7-3770, 3.40 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,"radeon hd 7870, 2 gb / geforce gtx 660, 2 gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Call of Duty®: Advanced Warfare - Panda Exoskeleton Pack,windows_min_Call of Duty®: Advanced Warfare - Panda Exoskeleton Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_Retro Machina,windows_min_Retro Machina,windows_req_Retro Machina,windows_req_Retro Machina
операционная система,windows 7 or higher,операционная система,windows 10 or higher
процессор,"intel core i3 or amd fx 6300, 2ghz or faster",процессор,intel core i5 or amd ryzen 3
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gt 1030 or amd rx 550 or higher series,видео карта,nvidia gtx 1050 or amd rx 560
directx,version 11,directx,version 11
,,,
windows_min_Love Breakout - Free 18+ Content,windows_min_Love Breakout - Free 18+ Content
операционная система,windows xp/vista/7/8/10
процессор,dual core+
оперативная память,1 gb
видео карта,graphics card supporting directx 9.0c+
диск,300 mb
,
windows_min_Eternum EX,windows_min_Eternum EX,windows_req_Eternum EX,windows_req_Eternum EX,macos_min_Eternum EX,macos_min_Eternum EX,macos_req_Eternum EX,macos_req_Eternum EX,linux_min_Eternum EX,linux_min_Eternum EX,linux_req_Eternum EX,linux_req_Eternum EX
операционная система,windows 7 and above,операционная система,"microsoft windows 8, 10",операционная система,mac os 10.11+,операционная система,—,операционная система,ubuntu 12.04+ or steamos,операционная система,—
процессор,1.5 ghz core2duo,процессор,intel core i3,процессор,2 ghz dual core,процессор,—,процессор,2 ghz dual core,процессор,—
оперативная память,2 mb,оперативная память,4 mb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,nvidia gtx 470 de 1 gb/amd hd 7870 de 2 gb,видео карта,nvidia gtx 780 de 3 gb/amd r9 290 de 4 gb,диск,200 mb,диск,—,видео карта,hardware accelerated graphics with dedicated memory,видео карта,—
,,,,,,,,,,,
windows_min_LEGO Batman 3: Beyond Gotham DLC: Man of Steel,windows_min_LEGO Batman 3: Beyond Gotham DLC: Man of Steel,windows_req_LEGO Batman 3: Beyond Gotham DLC: Man of Steel,windows_req_LEGO Batman 3: Beyond Gotham DLC: Man of Steel
операционная система,10.9.5,операционная система,10.10
процессор,1.8 ghz,процессор,2.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256mb vram*,видео карта,512mb vram*
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_One Bullet left,windows_min_One Bullet left,windows_req_One Bullet left,windows_req_One Bullet left
операционная система,windows 7,операционная система,window 10
процессор,i5 2500k,процессор,intel core i5-4670k
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 560ti,видео карта,geforce gtx 760
directx,version 10,directx,version 12
,,,
windows_min_Portal Dogs,windows_min_Portal Dogs,windows_req_Portal Dogs,windows_req_Portal Dogs
операционная система,10.15+,операционная система,10.15+
процессор,core i3 or arm,процессор,core i5 or arm
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,—
directx,version 10,directx,version 11
,,,
windows_min_Dead Maze,windows_min_Dead Maze,macos_min_Dead Maze,macos_min_Dead Maze,linux_min_Dead Maze,linux_min_Dead Maze
операционная система,windows 7,операционная система,mac os x 10.11.6,операционная система,ubuntu 16.04 lts
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
диск,250 mb,диск,250 mb,диск,250 mb
,,,,,
windows_min_Ghostbusters™,windows_min_Ghostbusters™
операционная система,windows vista / windows 7 / windows 8 / windows 10
процессор,intel core™ i5-750 @ 2.67 ghz / amd phenom™ ii x4 965 @ 3.4 ghz
оперативная память,3 gb
видео карта,nvidia geforce gtx 660
directx,version 11
диск,12 gb
,
windows_min_Hello Neighbor Demo,windows_min_Hello Neighbor Demo
операционная система,windows 7 or up (32 bit unsupported)
процессор,i5 and up
оперативная память,4 gb
видео карта,geforce 750 or higher
диск,1 gb
звуковая карта,stereo
,
windows_min_Sleeping Dogs: Monkey King Pack,windows_min_Sleeping Dogs: Monkey King Pack,windows_req_Sleeping Dogs: Monkey King Pack,windows_req_Sleeping Dogs: Monkey King Pack
операционная система,"windows vista service pack 2, windows 7",операционная система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx,10,directx,11
диск,15 gb hd space,диск,15 gb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Beyond Enemy Lines: Operation Arctic Hawk,windows_min_Beyond Enemy Lines: Operation Arctic Hawk,windows_req_Beyond Enemy Lines: Operation Arctic Hawk,windows_req_Beyond Enemy Lines: Operation Arctic Hawk
операционная система,windows 7 64bit,операционная система,windows 10 64bit
процессор,intel core i5-2500k cpu,процессор,intel core i7 4790k cpu
оперативная память,4 gb,оперативная память,6 gb
видео карта,4,видео карта,geforce gtx 970 or amd radeon r9 290
directx,version 11,directx,version 11
диск,7 gb,диск,7 gb
,,,
windows_min_Call of Duty®: Ghosts - Extra Slots Pack,windows_min_Call of Duty®: Ghosts - Extra Slots Pack,windows_req_Call of Duty®: Ghosts - Extra Slots Pack,windows_req_Call of Duty®: Ghosts - Extra Slots Pack
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Angelo Skate Away,windows_min_Angelo Skate Away
операционная система,windows 7
процессор,intel dual core 6600 @ 2.4ghz
оперативная память,4 gb
видео карта,"intel 4400, geforce gtx 280, amd radeon hd 7750"
диск,510 mb
,
windows_min_Castlevania: Lords of Shadow 2 Demo,windows_min_Castlevania: Lords of Shadow 2 Demo,windows_req_Castlevania: Lords of Shadow 2 Demo,windows_req_Castlevania: Lords of Shadow 2 Demo
операционная система,windows xp service pack 3,операционная система,windows 7 or higher
процессор,2.4ghz intel core 2 duo or amd equivalent,процессор,quad core cpu
оперативная память,2 gb,оперативная память,2 gb
видео карта,direct x9 compatible video card 512mb,видео карта,direct x11 compatible video card with 1024mb
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
звуковая карта,directsound supported with direct x9.0c,звуковая карта,directsound supported with direct x9.0c
,,,
windows_min_Voxel Shot VR,windows_min_Voxel Shot VR
операционная система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,4 gb
видео карта,"nvidia geforce gtx 970, amd radeon™ r9 290 equivalent, video output: hdmi 1.4, displayport 1.2"
диск,700 mb
,
windows_min_Battle of Empires : 1914-1918 - Russian Empire,windows_min_Battle of Empires : 1914-1918 - Russian Empire,windows_req_Battle of Empires : 1914-1918 - Russian Empire,windows_req_Battle of Empires : 1914-1918 - Russian Empire
операционная система,windows vista sp1 and higher,операционная система,windows 7 or windows 8
процессор,2 ghz intel dual core,процессор,3 ghz intel quad core
оперативная память,2 gb,оперативная память,8 gb
видео карта,3d hardware accelerator card required – 100% directx 9.0c compatible 128 mb video memory. ati radeon 9600 or nvidia geforce 5900,видео карта,nvidia geforce gtx 560 or amd radeon hd 7750 with 1 gb vram
directx,version 9.0c,directx,version 9.0c
диск,6 gb,диск,6 gb
,,,
windows_min_Spirit Run - Fire vs. Ice,windows_min_Spirit Run - Fire vs. Ice
операционная система,win xp/vista/7/8
процессор,1 ghz
оперативная память,1 gb
видео карта,512mb with shader model 3.0 support
,
windows_min_TEKKEN 7 - DLC6: Craig Marduk,windows_min_TEKKEN 7 - DLC6: Craig Marduk,windows_req_TEKKEN 7 - DLC6: Craig Marduk,windows_req_TEKKEN 7 - DLC6: Craig Marduk
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690 3.5 ghz intel core i5-4690 3.5 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 660 2gb, gtx 750ti 2gb,",видео карта,nvidia geforce gtx 1060 equivalent or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,60 gb
,,,
