windows_min_Thunder Wolves,windows_min_Thunder Wolves
операционная система,windows xp/vista/7™
процессор,2 ghz single-core
оперативная память,2 gb
видео карта,256mb directx9 compatible video card
directx,9.0c
диск,2 gb hd space
звуковая карта,directx 9.0c compatible
other requirements,широкополосное подключение
,
windows_min_Botology,windows_min_Botology,windows_req_Botology,windows_req_Botology
directx,version 9.0c,directx,version 9.0c,диск,2250 mb,диск,—,диск,2250 mb,диск,2250 mb
диск,2250 mb,диск,2250 mb,звуковая карта,—,звуковая карта,—,звуковая карта,—,звуковая карта,—
звуковая карта,—,звуковая карта,—,дополнительно,"mac-compatible keyboard and mouse/touchpad, or controller required (xbox 360, xbox one or playstation 4 controllers recommended).",дополнительно,—,дополнительно,"linux-compatible keyboard and mouse/touchpad, or controller required (xbox 360, xbox one or playstation 4 controllers recommended).",дополнительно,"linux-compatible keyboard and mouse/touchpad, or controller required (xbox 360, xbox one or playstation 4 controllers recommended)."
,,,,,,,,,,,
windows_min_The Caribbean Sail,windows_min_The Caribbean Sail,windows_req_The Caribbean Sail,windows_req_The Caribbean Sail,macos_min_The Caribbean Sail,macos_min_The Caribbean Sail,macos_req_The Caribbean Sail,macos_req_The Caribbean Sail,linux_min_The Caribbean Sail,linux_min_The Caribbean Sail,linux_req_The Caribbean Sail,linux_req_The Caribbean Sail
операционная система,windows 7,операционная система,windows 7,операционная система,snow leopard 10.6,операционная система,snow leopard 10.6,операционная система,ubuntu 14,операционная система,ubuntu 14
процессор,a potato will do,процессор,1.5 ghz,процессор,an apple will work,процессор,1.5 ghz,процессор,a penguin should be fine,процессор,1.5 ghz
оперативная память,512 mb,оперативная память,2 gb,оперативная память,512 mb,оперативная память,2 gb,оперативная память,512 mb,оперативная память,2 gb
directx,version 9.0,directx,version 9.0,диск,420 mb,диск,1337 mb,диск,420 mb,диск,1337 mb
диск,420 mb,диск,1337 mb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,a voice for singing shanties,звуковая карта,a good voice for singing shanties,,,,,,,,
,,,,,,,,,,,
windows_min_Reignfall,windows_min_Reignfall,windows_req_Reignfall,windows_req_Reignfall
операционная система,windows 7,операционная система,windows 8.1
процессор,dual core 2ghz,процессор,intel i7-4790
оперативная память,2 gb,оперативная память,16 gb
видео карта,directx 10 compatible graphics,видео карта,nvidia gtx 750
,,,
windows_min_Fieldrunners 2,windows_min_Fieldrunners 2,windows_req_Fieldrunners 2,windows_req_Fieldrunners 2
операционная система,windows xp service pack 3,операционная система,windows vista or 7
процессор,single-core 2.2 ghz,процессор,dual-core 2.4 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"opengl 1.5 compliant with 256 mb of video, no shader support necessary",видео карта,"opengl 1.5 compliant with 512 mb of video, no shader support necessary"
,,,
windows_min_Scavenger SV-4,windows_min_Scavenger SV-4,windows_req_Scavenger SV-4,windows_req_Scavenger SV-4
операционная система,windows xp,операционная система,windows 7
процессор,2.4ghz,процессор,3.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx9, shader model 2 - geforce 6800 / radeon x1900",видео карта,"directx9, shader model 2 - geforce gtx 1060 / radeon hd 7870"
directx,version 9.0c,directx,version 9.0c
,,,
