оперативная память,4 gb,оперативная память,8 gb
видео карта,512 mb of memory or more. requires support for shader model 2.,видео карта,dedicated graphics card with 1024 mb of memory or more. should have support for shader model 3.
directx,version 9.0c,directx,version 9.0c
диск,15 gb,диск,15 gb
дополнительно,"f performance disable the new effects under the ""fx"" tab.",дополнительно,"f performance disable the new effects under the ""fx"" tab."
,,,
windows_min_LEGO® The Incredibles,windows_min_LEGO® The Incredibles
операционная система,macos 10.14
процессор,2.3ghz intel core i5
оперативная память,8 gb
видео карта,"2gb amd radeon m290, intel iris pro 5200 (see notes for more details)"
directx,version 11
сеть,широкополосное подключение
диск,16 gb
,
windows_min_Starblast,windows_min_Starblast,windows_req_Starblast,windows_req_Starblast,macos_min_Starblast,macos_min_Starblast,macos_req_Starblast,macos_req_Starblast,linux_min_Starblast,linux_min_Starblast,linux_req_Starblast,linux_req_Starblast
операционная система,windows 7,операционная система,windows 7,операционная система,10.7+,операционная система,10.10+,операционная система,linux s,операционная система,linux s
процессор,1.0 ghz cpu,процессор,1.2 ghz cpu,процессор,1.2 ghz cpu,процессор,1.6 ghz cpu,процессор,1.0 ghz cpu,процессор,1.2 ghz cpu
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
диск,150 mb,диск,150 mb,диск,150 mb,диск,150 mb,диск,150 mb,диск,150 mb
,,,,,,,,,,,
windows_min_Serious Sam 3 VR: BFE,windows_min_Serious Sam 3 VR: BFE,windows_req_Serious Sam 3 VR: BFE,windows_req_Serious Sam 3 VR: BFE
операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,intel core i5 - 4590 equivalent,процессор,intel core i7-6800 equivalent
оперативная память,6 gb,оперативная память,8 gb
видео карта,amd r9 290 or nvidia gtx 970,видео карта,amd fury or nvidia gtx 1070
directx,version 11,directx,version 11
vr support,steamvr or oculus pc,vr support,—
дополнительно,"htc vive or oculus rift vr headset plus hand controllers. internet connection required for product activation. after that, a persistent connection is not required to the game.",дополнительно,"htc vive or oculus rift vr headset plus hand controllers. internet connection required for product activation. after that, a persistent connection is not required to the game."
,,,
windows_min_Total Miner,windows_min_Total Miner,windows_req_Total Miner,windows_req_Total Miner
операционная система,win xp sp3 / vista / windows 7 / windows 8,операционная система,windows 7+
процессор,2 ghz dual core (4 threads),процессор,2.5 ghz quad core (6-8 threads)
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb directx 9.0c compatible (shader model 2),видео карта,1024 mb directx 10 compatible
directx,version 9.0c,directx,version 10
диск,250 mb,диск,1 gb
,,,
windows_min_Labyronia RPG 2,windows_min_Labyronia RPG 2
операционная система,"windows 98, xp, vista, 7, 8, 10"
процессор,intel pentium iii 800 mhz
оперативная память,512 mb
,
windows_min_Killing Floor: Incursion,windows_min_Killing Floor: Incursion,windows_req_Killing Floor: Incursion,windows_req_Killing Floor: Incursion
