windows_min_Alien: Isolation - Safe Haven,windows_min_Alien: Isolation - Safe Haven,windows_req_Alien: Isolation - Safe Haven,windows_req_Alien: Isolation - Safe Haven,macos_min_Alien: Isolation - Safe Haven,macos_min_Alien: Isolation - Safe Haven,macos_req_Alien: Isolation - Safe Haven,macos_req_Alien: Isolation - Safe Haven,linux_min_Alien: Isolation - Safe Haven,linux_min_Alien: Isolation - Safe Haven,linux_req_Alien: Isolation - Safe Haven,linux_req_Alien: Isolation - Safe Haven
операционная система,windows 7 (32bit),операционная система,windows 7 (32bit),операционная система,macos 10.10.4,операционная система,—,операционная система,"ubuntu 14.04, steamos",операционная система,"ubuntu 14.04, steamos"
процессор,3.16ghz intel core 2 duo e8500,процессор,"amd: phenom ii x4 955 - 4 core, 3.2 ghz or inte: core 2 quad core, 3.0ghz",процессор,2ghz intel core i5,процессор,—,процессор,2.6ghz intel i3,процессор,3.2ghz+ intel i7 quad core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 mb,оперативная память,8 mb
видео карта,1gb (amd radeon hd 5550 or nvidia geforce gt 430),видео карта,2gb (amd gpu: amd radeon r9 200 series or nvidia gpu: geforce gtx 660,видео карта,"1gb amd 5750, 1gb nvidia 650m, 1.5 gb intel iris pro 5200 (see notes for more details)",видео карта,—,видео карта,nvidia 6xx series (driver version: 355.11),видео карта,nvidia 970 (driver version: 355.11)
directx,version 11,directx,version 11,диск,35 gb,диск,—,диск,35 mb,диск,35 mb
,,,,,,,,,,,
windows_min_METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),windows_min_METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),windows_req_METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),windows_req_METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA)
операционная система,"windows 7x64, windows 8x64 ( os required)",операционная система,"windows 7x64, windows 8x64 ( os required)"
процессор,intel core i5-4460 (3.40 ghz) ; quad-core,процессор,intel core i7-4790 (3.60ghz) ; quad-core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 (2gb) (directx 11 card required),видео карта,nvidia geforce gtx 760 (directx 11 graphic card required)
directx,version 11,directx,version 11
диск,28 gb,диск,28 gb
,,,
windows_min_Aliens: Colonial Marines SHARP Sticks,windows_min_Aliens: Colonial Marines SHARP Sticks,windows_req_Aliens: Colonial Marines SHARP Sticks,windows_req_Aliens: Colonial Marines SHARP Sticks
операционная система,operating system: windows xp sp3,операционная система,operating system: windows xp sp3/vista/windows 7
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,"2gb (xp), 2gb (vista)",оперативная память,2gb
видео карта,nvidia geforce 8500 / ati radeon hd 2600 (256 minimum),видео карта,nvidia geforce gtx560 / ati radeon hd 5850 (512 minimum)
directx,9.0c,directx,9.0c
диск,20gb free hard disk space,диск,20gb free hard disk space
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Dreadnought,windows_min_Dreadnought,windows_req_Dreadnought,windows_req_Dreadnought
операционная система,windows 7 (),операционная система,"windows 7, 8, 8.1, 10 ()"
процессор,amd phenom ii x2 series 3.0ghz / intel core 2 duo e7000 series 2.6ghz,процессор,intel core i5-8400 2.8 ghz or amd ryzen 7 1700 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 450 / amd hd 5750 / intel iris pro 6200,видео карта,nvidia geforce gtx 1060 3gb or amd radeon rx 580 4 gb
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Soldier of Fortune®: Payback,windows_min_Soldier of Fortune®: Payback
операционная система,microsoft® windows® 2000/xp/vista™
процессор,2.5 ghz pentium 4
оперативная память,512 mb
видео карта,256mb directx 9.0c compatible 3d accelerated video card with pixel/vertex shaders version 2.0 - ati radeon x800 or nvidia geforce 6800
directx,directx 9.0c (included)
диск,2.3 gb uncompressed hard drive space
звуковая карта,directx 9.0c compatible
,
windows_min_Pesadelo - Regresso,windows_min_Pesadelo - Regresso,windows_req_Pesadelo - Regresso,windows_req_Pesadelo - Regresso
операционная система,osx 10.9 or higher,операционная система,—
процессор,2 ghz equivalent cpu,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,opengl 3 compatible gpu with 1gb video,видео карта,—
directx,version 9.0,directx,version 11
,,,
windows_min_Infernax,windows_min_Infernax,windows_req_Infernax,windows_req_Infernax
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-540 or amd phenom ii x2 550,процессор,intel core i3-540 or amd phenom ii x2 550
оперативная память,4 gb,оперативная память,4 gb
видео карта,"nvidia geforce gt 320, 1gb or amd radeon hd 6570, 1gb",видео карта,"nvidia geforce gt 320, 1gb or amd radeon hd 6570, 1gb"
диск,500 mb,диск,500 mb
,,,
windows_min_Winter Sports Games,windows_min_Winter Sports Games
операционная система,"windows 7, windows 8, windows 10"
процессор,intel core i5 2.4ghz
,
windows_min_Warhammer Vermintide - Kruber 'Carroburg Livery' Skin,windows_min_Warhammer Vermintide - Kruber 'Carroburg Livery' Skin,windows_req_Warhammer Vermintide - Kruber 'Carroburg Livery' Skin,windows_req_Warhammer Vermintide - Kruber 'Carroburg Livery' Skin
операционная система,"windows 7, windows 8/8.1, windows 10 *",операционная система,"windows 7, windows 8/8.1, windows 10 *"
процессор,intel core2 quad q9500 @ 2.83ghz or amd phenom ii x4 940,процессор,intel core i7-4790k @ 4.00 ghz or amd fx-9590 @ 4.7 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 1gb vram,видео карта,nvidia geforce gtx 780 or amd gpu radeon r9 290
directx,version 11,directx,version 11
