процессор,intel pentium dual-core t4200 (2x2.0ghz) or amd equivalent,процессор,intel core i5 @ 2.66 ghz / amd phenom ii x4 @ 3.0 ghz
оперативная память,2gb (xp)/3gb (windows 7 / vista),оперативная память,3gb
видео карта,nvidia geforce 8800 (512mb) / ati radeon hd 2900 (512mb),видео карта,nvidia geforce gtx 460 (1gb) / ati radeon hd 5850 (1gb)
directx,—,directx,—
диск,11 gb free hard drive space,диск,11 gb free hard drive space
,,,
windows_min_RAGE 2,windows_min_RAGE 2,windows_req_RAGE 2,windows_req_RAGE 2
операционная система,"win7, 8.1, or 10 ( versions)",операционная система,"win7, 8.1, or 10 ( versions)"
процессор,intel core i5-3570 or amd ryzen 3 1300x,процессор,intel core i7-4770 or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 780 3gb or amd r9 280 3gb,видео карта,nvidia gtx 1070 8gb or amd vega 56 8gb
,,,
windows_min_Darksiders II Deathinitive Edition,windows_min_Darksiders II Deathinitive Edition,windows_req_Darksiders II Deathinitive Edition,windows_req_Darksiders II Deathinitive Edition
операционная система,"windows xp, windows vista sp1, windows 7, windows 8 or windows 10 (64bit)",операционная система,"windows 7, windows 8 or windows 10 (64bit)"
процессор,2.0ghz intel core™2 duo or amd equivalent,процессор,any quad-core amd or intel
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 9800 gt 512 mb video card or amd equivalent,видео карта,nvidia geforce gtx 260 512mb video card or amd equivalent
directx,version 9.0c,directx,version 9.0c
диск,13 gb,диск,13 gb
,,,
windows_min_Mark of the Ninja,windows_min_Mark of the Ninja,windows_req_Mark of the Ninja,windows_req_Mark of the Ninja
операционная система,os x 10.7 lion,операционная система,—
процессор,2.4 ghz,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"512 mb vram, nvidia geforce 7800 gt or ati radeon™ hd 3000+",видео карта,—
directx,9.0c,directx,9.0c
диск,2.5 gb hd space,диск,—
,,,
windows_min_Hyper Light Drifter,windows_min_Hyper Light Drifter,macos_min_Hyper Light Drifter,macos_min_Hyper Light Drifter,linux_min_Hyper Light Drifter,linux_min_Hyper Light Drifter
операционная система,windows 7 and above,операционная система,mac osx 10.7 and above,операционная система,ubuntu 12.04/steam os
процессор,1.2 ghz,процессор,1.2 ghz,процессор,1.2 ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,512 mb video memory,видео карта,512 mb video memory,видео карта,512 mb video memory
directx,version 10,диск,2 gb,диск,2 gb
,,,,,
