видео карта,"gtx 1060 / 970 for rift cv1+touch, original vive at 90hz, and rifts at 80hz",видео карта,"gtx 1080 / 2060 super for rift cv1+touch, original vive 90hz, and rifts 80hz"
directx,version 11,directx,version 11
диск,15 gb,диск,15 gb
,,,
windows_min_Light Bearers Full Game,windows_min_Light Bearers Full Game,windows_req_Light Bearers Full Game,windows_req_Light Bearers Full Game
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel(r) core(tm) i7-2670qm cpu @ 2.20ghz,процессор,intel(r) core(tm) i7-875k cpu @ 2.93ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560m,видео карта,nvidia geforce 970
диск,7 gb,диск,7 gb
,,,
windows_min_Call of Duty®: Ghosts - Nemesis,windows_min_Call of Duty®: Ghosts - Nemesis,windows_req_Call of Duty®: Ghosts - Nemesis,windows_req_Call of Duty®: Ghosts - Nemesis
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Sniper Ghost Warrior Contracts - SV - AMUR,windows_min_Sniper Ghost Warrior Contracts - SV - AMUR
операционная система,windows 7
процессор,intel core i5 4460 / amd fx 6350
оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon hd 7870 (2gb vram)
directx,version 10
,
windows_min_Chicken Invaders 4 - Thanksgiving Edition,windows_min_Chicken Invaders 4 - Thanksgiving Edition,macos_min_Chicken Invaders 4 - Thanksgiving Edition,macos_min_Chicken Invaders 4 - Thanksgiving Edition,linux_min_Chicken Invaders 4 - Thanksgiving Edition,linux_min_Chicken Invaders 4 - Thanksgiving Edition
операционная система,windows xp/vista/7/8/8.1/10,операционная система,mac os x 10.4,операционная система,32-bit linux (or linux with 32-bit drivers)
оперативная память,512 mb,процессор,intel,оперативная память,1024 mb
диск,220 mb,оперативная память,1024 mb,диск,220 mb
,,,,,
windows_min_Hero Soul: I want to be a Hero!,windows_min_Hero Soul: I want to be a Hero!
операционная система,microsoft windows xp/vista/7/8/8.1 ()
процессор,"intel core 2 duo, 3.0ghz or amd athlon 64 x2 6400+, 3.2ghz"
оперативная память,4 gb
видео карта,"nvidia geforce gtx 260, 512 mb or ati radeon hd 5670, 512 mb"
directx,version 9.0
,
"windows_min_Warhammer 40,000: Space Wolf - Sigurd Ironside","windows_min_Warhammer 40,000: Space Wolf - Sigurd Ironside","windows_req_Warhammer 40,000: Space Wolf - Sigurd Ironside","windows_req_Warhammer 40,000: Space Wolf - Sigurd Ironside"
операционная система,windows 7,операционная система,windows 7
процессор,2.4 ghz dual core,процессор,2.4 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,hardware accelerated graphics,видео карта,1 gb video card
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Robot terminator,windows_min_Robot terminator
операционная система,windows 7/8/8.1/10
процессор,intel 2.4ghz
оперативная память,2048 mb mb
видео карта,directx 9.0c and shader model 3.0at least 512mb
диск,512 mb
,
windows_min_Zombieland: Double Tap - Road Trip,windows_min_Zombieland: Double Tap - Road Trip,windows_req_Zombieland: Double Tap - Road Trip,windows_req_Zombieland: Double Tap - Road Trip
операционная система,windows 7,операционная система,windows 7
процессор,core i7-950,процессор,intel i7-4770 cpu @ 3.40ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,gtx 260,видео карта,nvidia geforce gtx 970
directx,version 10,directx,version 10
,,,
windows_min_Quest Hunter: Original Soundtrack,windows_min_Quest Hunter: Original Soundtrack
,
windows_min_Infestation: Battle Royale,windows_min_Infestation: Battle Royale,windows_req_Infestation: Battle Royale,windows_req_Infestation: Battle Royale
операционная система,windows 7 - sp1 64bit,операционная система,windows 10
процессор,"amd a8 3870 3,6 ghz or intel core ™ i3 2100 3.1ghz",процессор,amd fx 8150 3.6 ghz or intel core™ i7 2600 3.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 465 / ati radeon tm hd 6870,видео карта,"nvidia geforce gtx 950, ati radeon™ r7 360"
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
,,,
windows_min_Sanguine Soul,windows_min_Sanguine Soul,windows_req_Sanguine Soul,windows_req_Sanguine Soul
операционная система,windows 10,операционная система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 660 or radeon hd 7870,видео карта,geforce gtx 970 or radeon r9 390
directx,version 10,directx,version 11
,,,
