windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
диск,2 gb,диск,2 gb
,,,
windows_min_SCP: Nukalypse,windows_min_SCP: Nukalypse,windows_req_SCP: Nukalypse,windows_req_SCP: Nukalypse,macos_min_SCP: Nukalypse,macos_min_SCP: Nukalypse,macos_req_SCP: Nukalypse,macos_req_SCP: Nukalypse,linux_min_SCP: Nukalypse,linux_min_SCP: Nukalypse,linux_req_SCP: Nukalypse,linux_req_SCP: Nukalypse
операционная система,windows 7,операционная система,windows 7/8/8.1/10,операционная система,any/none specified,операционная система,any/none specified,операционная система,any/none specified,операционная система,any/none specified
процессор,1.5 ghz,процессор,2.5 ghz,процессор,2 ghz,процессор,2.5 ghz,процессор,2 ghz,процессор,2.5 ghz
оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb
видео карта,2gb dedicated vram,видео карта,4gb dedicated vram,видео карта,512mb dedicated vram,видео карта,1gb dedicated vram,видео карта,512mb dedicated vram,видео карта,1gb dedicated vram
диск,2 gb,диск,2 gb,диск,1 gb,диск,2 gb,звуковая карта,directx 9 compatible,звуковая карта,directx 9 compatible
,,,,,,,,,,,
windows_min_I Shall Remain,windows_min_I Shall Remain,windows_req_I Shall Remain,windows_req_I Shall Remain
операционная система,xp,операционная система,windows 7
процессор,intel one core 2.0 ghz or similar,процессор,"intel two cores, 3.2 ghz or similar"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 8600 or similar amd card with support for 2.x shader profile (old intel integrated cards may not work),видео карта,nvidia 9600 or similar amd card with support for 3.0 shader profile (old intel integrated cards may not work)
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,2 gb
,,,
windows_min_M.A.X.: Mechanized Assault & Exploration,windows_min_M.A.X.: Mechanized Assault & Exploration,windows_req_M.A.X.: Mechanized Assault & Exploration,windows_req_M.A.X.: Mechanized Assault & Exploration
операционная система,"windows (xp, vista, 7, 8, 10)",операционная система,—
процессор,1 ghz,процессор,1.4 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,3d graphics card compatible with directx 7,видео карта,3d graphics card compatible with directx 9
диск,406.9 mb,диск,600 mb
,,,
windows_min_Hentai Fight Club,windows_min_Hentai Fight Club
операционная система,any
процессор,any
оперативная память,2000 mb
видео карта,any
диск,500 mb
звуковая карта,any
,
windows_min_Super Space Meltdown,windows_min_Super Space Meltdown
операционная система,windows vista/7/8
процессор,2.0 ghz i5
оперативная память,4 gb
видео карта,1gb video
directx,version 9.0
,
windows_min_The Defender: Farm and Castle,windows_min_The Defender: Farm and Castle,windows_req_The Defender: Farm and Castle,windows_req_The Defender: Farm and Castle
операционная система,"windows 7, 8.1, 10 (64bit)",операционная система,"windows 7, 8.1, 10 (64bit)"
процессор,intel core™ i3,процессор,intel core™ i5
оперативная память,1 gb,оперативная память,2 gb
directx,version 10,directx,version 11
,,,
windows_min_AHEGAL SEASONS,windows_min_AHEGAL SEASONS
операционная система,windows 7
процессор,1.5 ghz dual core
оперативная память,2 gb
видео карта,intel hd graphics 4000
directx,version 10
,
windows_min_TERA: The Next,windows_min_TERA: The Next,windows_req_TERA: The Next,windows_req_TERA: The Next
операционная система,"windows xp, windows vista, windows 7, windows 8, windows 10",операционная система,"windows xp, windows vista, windows 7, windows 8, windows 10"
процессор,—,процессор,—
оперативная память,4 gb,оперативная память,4 gb
видео карта,—,видео карта,—
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Quantum League - Free Open Beta,windows_min_Quantum League - Free Open Beta
операционная система,windows 7
процессор,2.5+ ghz quad core
оперативная память,4 gb
видео карта,geforce gtx 750
сеть,широкополосное подключение
,
windows_min_Rustler: Prologue,windows_min_Rustler: Prologue
операционная система,windows 7
процессор,intel core i5
оперативная память,8 gb
видео карта,nvidia gtx 1060
directx,version 11
,
windows_min_Beyond Enemy Lines 2 Online,windows_min_Beyond Enemy Lines 2 Online,windows_req_Beyond Enemy Lines 2 Online,windows_req_Beyond Enemy Lines 2 Online
операционная система,windows 7 (64bit),операционная система,windows 10 (64bit)
