windows_min_Ball 2D: Soccer Online,windows_min_Ball 2D: Soccer Online
процессор,"intel core i3 2,00 ghz",процессор,"intel core i5-4440 3,10 ghz"
оперативная память,2 gb,оперативная память,—
видео карта,intel hd 520,видео карта,nvidia geforce gtx650
,,,
windows_min_Slurpies FREE,windows_min_Slurpies FREE,windows_req_Slurpies FREE,windows_req_Slurpies FREE
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350,процессор,i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1060,видео карта,gtx 1080
диск,6 gb,диск,6 gb
vr support,steamvr. standing or room scale,vr support,—
,,,
windows_min_Necropolis of the Angels,windows_min_Necropolis of the Angels,windows_req_Necropolis of the Angels,windows_req_Necropolis of the Angels
операционная система,windows 7,операционная система,windows 10
процессор,amdfx6300,процессор,amd ryzen 5 5500
оперативная память,8 mb,оперативная память,8 mb
видео карта,nvidia gtx 1050,видео карта,nvidia gtx 1050
directx,version 10,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,6 gb
,,,
windows_min_WordWar,windows_min_WordWar
операционная система,windows 7 (32/)/vista/xp
процессор,1 ghz
оперативная память,512 mb
,
windows_min_Solitude Underwater,windows_min_Solitude Underwater,windows_req_Solitude Underwater,windows_req_Solitude Underwater,macos_min_Solitude Underwater,macos_min_Solitude Underwater,macos_req_Solitude Underwater,macos_req_Solitude Underwater,linux_min_Solitude Underwater,linux_min_Solitude Underwater,linux_req_Solitude Underwater,linux_req_Solitude Underwater
операционная система,"windows 7, 8/8.1, 10, 11",операционная система,"windows 10, 11",операционная система,unknown,операционная система,unknown,операционная система,unknown,операционная система,unknown
процессор,intel core i5 2.6ghz or similar,процессор,amd ryzen 5 1600 six-core or similar,процессор,unknown,процессор,unknown,процессор,unknown,процессор,unknown
оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 700 series or similar,видео карта,geforce gtx 1050 series or similar,видео карта,unknown,видео карта,unknown,видео карта,unknown,видео карта,unknown
диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any
,,,,,,,,,,,
windows_min_Highway Rampage,windows_min_Highway Rampage,windows_req_Highway Rampage,windows_req_Highway Rampage
операционная система,windows 7 or above,операционная система,windows 10
процессор,intel or amd dual core cpu,процессор,intel i7
оперативная память,1 gb,оперативная память,8 gb
видео карта,"intel hd 5500, geforce 720,or radeon hd 5570",видео карта,(integrated): intel hd graphics or amd (formerly ati) radeon hd graphics (discrete): nvidia geforce gtx 760 () or amd radeon hd
directx,version 9.0,directx,version 12
,,,
windows_min_Amaya's Lost Soul,windows_min_Amaya's Lost Soul,windows_req_Amaya's Lost Soul,windows_req_Amaya's Lost Soul
операционная система,windows 8/8.1/10 (64bit),операционная система,windows 8/8.1/10 (64bit)
процессор,intel core2 duo and 2.0ghz,процессор,intel core2 duo and 3.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu / nvidia geforce gtx750
directx,version 9.0,directx,—
,,,
