windows_min_Hat Trick Header,windows_min_Hat Trick Header
операционная система,"windows 8.1 x64, windows 10 x64"
процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290 equivalent
directx,version 11
,
windows_min_Epic Battle Simulator 2,windows_min_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2
процессор,"pentium 4 2.8 ghz (3.2 ghz for vista), core 2.0 ghz (2.2 ghz for vista), athlon 2800+ (3200+ for vista)",процессор,core 2 duo/athlon x2
оперативная память,2 gb,оперативная память,4 gb
видео карта,"geforce 6800 gt, radeon 9800 pro (radeon x800 pro for vista)",видео карта,"nvidia 7800 series, ati radeon 1800 series"
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
звуковая карта,openal compatible,звуковая карта,openal compatible
,,,
windows_min_BiT Evolution,windows_min_BiT Evolution,windows_req_BiT Evolution,windows_req_BiT Evolution
операционная система,mac os 10.6+,операционная система,mac os 10.6+
процессор,2.4 ghz intel core duo,процессор,2.8 ghz intel core duo
оперативная память,1 gb,оперативная память,2 gb
видео карта,directx 8-compatible graphics card with at least 32mb of video memory,видео карта,directx 8-compatible graphics card with at least 32mb of video memory
directx,version 9.0c,directx,version 9.0c
,,,
