оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,direct x9.0c compatible card,видео карта,"opengl 2.1+ support, and recommended dedicated graphics card with 128 mb of",видео карта,"opengl 2.1+ support, and recommended dedicated graphics card with 128 mb of"
directx,version 9.0,диск,145 mb,диск,135 mb
,,,,,
windows_min_Lord of the Rings: War in the North,windows_min_Lord of the Rings: War in the North,windows_req_Lord of the Rings: War in the North,windows_req_Lord of the Rings: War in the North
операционная система,"windows xp, windows vista or windows 7",операционная система,—
процессор,intel core2 duo 2.4 ghz or amd 64 x2 4400,процессор,intel core2 duo 3 ghz or amd x2 5000 or amd phenom x4 9600
оперативная память,2 gb,оперативная память,4 gb
видео карта,2006 geforce 8600 or radeon hd 2600,видео карта,geforce 2xx series or radeon hd 6xxx series
directx,dx90,directx,dx90
диск,10 gb hd space,диск,—
звуковая карта,100% directx 9 compatible audio device,звуковая карта,—
,,,
windows_min_Epistory - Typing Chronicles,windows_min_Epistory - Typing Chronicles,windows_req_Epistory - Typing Chronicles,windows_req_Epistory - Typing Chronicles
операционная система,os x 10.9,операционная система,—
процессор,intel core i5 2400 -or- amd phenom ii x6 1100t,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,ati radeon hd4850 -or- geforce gtx 295 (does not support intel integrated graphics cards),видео карта,—
диск,1 gb,диск,—
,,,
windows_min_Attack on Titan 2 - A.O.T.2 - ,windows_min_Attack on Titan 2 - A.O.T.2 - ,windows_req_Attack on Titan 2 - A.O.T.2 - ,windows_req_Attack on Titan 2 - A.O.T.2 - 
операционная система,win 8.1/10 64bit,операционная система,win 8.1/10 64bit
процессор,core i5 2400 or over,процессор,core i7 3770 or over
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 vram 1gb or over,видео карта,nvidia geforce gtx 960 vram 2gb or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_Nine Parchments,windows_min_Nine Parchments,windows_req_Nine Parchments,windows_req_Nine Parchments
операционная система,() windows 10 / 8 / 7,операционная система,() windows 10 / 8 / 7
процессор,intel core i3 / i5/i7 1.8 ghz cpu dual-core. amd 2.0 ghz dual-core.,процессор,intel quad-core 2.0 ghz or dual-core 2.6 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,1 gb video - nvidia geforce 500 series / radeon hd 6000 series,видео карта,geforce gtx 770 2gb / radeon r9 380
directx,version 10,directx,version 10
диск,7 gb,диск,7 gb
,,,
windows_min_Streamer Life Simulator,windows_min_Streamer Life Simulator,windows_req_Streamer Life Simulator,windows_req_Streamer Life Simulator
операционная система,windows 7,операционная система,windows 10
процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu
оперативная память,4 gb,оперативная память,6 gb
видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470
,,,
windows_min_Jet Set Radio,windows_min_Jet Set Radio
операционная система,windows xp sp2
процессор,pentium 4 or athlon cpu > 1ghz
оперативная память,1 gb
видео карта,256mb video or more (256mb video or more)
,
windows_min_Zero Caliber VR,windows_min_Zero Caliber VR,windows_req_Zero Caliber VR,windows_req_Zero Caliber VR
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1070
диск,20 gb,диск,20 gb
vr support,steamvr or oculus pc. standing or room scale,vr support,—
,,,
windows_min_Monster Sanctuary,windows_min_Monster Sanctuary,windows_req_Monster Sanctuary,windows_req_Monster Sanctuary,macos_min_Monster Sanctuary,macos_min_Monster Sanctuary,macos_req_Monster Sanctuary,macos_req_Monster Sanctuary,linux_min_Monster Sanctuary,linux_min_Monster Sanctuary,linux_req_Monster Sanctuary,linux_req_Monster Sanctuary
операционная система,windows 7,операционная система,windows 10,операционная система,macos mojave 10.14,операционная система,—,операционная система,ubuntu 14.04,операционная система,—
процессор,"dual-core, 2.0 ghz",процессор,"dual-core, 3.0 ghz",процессор,1.7 ghz intel core i5,процессор,—,процессор,"dual-core, 2.0 ghz",процессор,—
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,"geforce 8800 gt 512 mb, radeon hd 4870 512 mb",видео карта,geforce gts 450 or equivilant,видео карта,intel hd graphic 4000,видео карта,—,видео карта,"geforce 8800 gt 512 mb, radeon hd 4870 512 mb",видео карта,—
directx,version 10,directx,version 10,диск,1 gb,диск,—,диск,1 gb,диск,—
диск,1 gb,диск,2 gb,,,,,звуковая карта,directx compatible sound card,звуковая карта,—
,,,,,,,,,,,
windows_min_Dungeon Munchies,windows_min_Dungeon Munchies
операционная система,macos high sierra
процессор,intel core i5
оперативная память,4 gb
directx,version 10
,
windows_min_Danganronpa Another Episode: Ultra Despair Girls,windows_min_Danganronpa Another Episode: Ultra Despair Girls,windows_req_Danganronpa Another Episode: Ultra Despair Girls,windows_req_Danganronpa Another Episode: Ultra Despair Girls
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-530 cpu 2.93ghz or above,процессор,intel core i3-530 cpu 2.93ghz or above
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx650 1gb or amd hd 7700 1gb(directx 11 graphic card required),видео карта,nvidia geforce gtx650 1gb or amd hd 7700 1gb(directx 11 graphic card required)
directx,version 11,directx,version 11
диск,18 gb,диск,18 gb
,,,
windows_min_Maneater,windows_min_Maneater,windows_req_Maneater,windows_req_Maneater
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-5300u,процессор,intel core i7-3770 / amd ryzen 5 1500x or higher
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel hd 5500,видео карта,nvidia geforce gtx 970 / amd radeon r9 390 or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Mother Russia Bleeds,windows_min_Mother Russia Bleeds,windows_req_Mother Russia Bleeds,windows_req_Mother Russia Bleeds,macos_min_Mother Russia Bleeds,macos_min_Mother Russia Bleeds,macos_req_Mother Russia Bleeds,macos_req_Mother Russia Bleeds,linux_min_Mother Russia Bleeds,linux_min_Mother Russia Bleeds,linux_req_Mother Russia Bleeds,linux_req_Mother Russia Bleeds
операционная система,windows xp/vista/7/8/8.1/10 x86 or x64,операционная система,windows xp/vista/7/8/8.1/10 x86 or x64,операционная система,mac os x 10.9 and above,операционная система,mac os x 10.9 and above,операционная система,"mint 17.1/18 x86, ubuntu 15.10/16.04 x86 or x64",операционная система,"mint 17.1/18 x86, ubuntu 15.10/16.04 x86 or x64"
процессор,intel pentium dual core e2220 (2 * 2400) or amd athlon 64 x2 5000+ (2 * 2600),процессор,intel core 2 duo e7300 (2 * 2660) or amd athlon 64 x2 6000+ (2 * 3000),процессор,intel pentium dual core e2220 (2 * 2400) or amd athlon 64 x2 5000+ (2 * 2600),процессор,intel core 2 duo e7300 (2 * 2660) or amd athlon 64 x2 6000+ (2 * 3000),процессор,intel pentium dual core e2220 (2 * 2400) or amd athlon 64 x2 5000+ (2 * 2600),процессор,intel core 2 duo e7300 (2 * 2660) or amd athlon 64 x2 6000+ (2 * 3000)
оперативная память,2 gb,оперативная память,3 gb,оперативная память,2 gb,оперативная память,3 gb,оперативная память,2 gb,оперативная память,3 gb
видео карта,geforce 9500 gt (512 mb) or radeon hd 6450 (512 mb),видео карта,geforce gt 610 (1024 mb) or radeon hd 4650 (1024 mb),видео карта,geforce gt 610 (1024 mb) or radeon hd 4650 (1024 mb),видео карта,geforce gt 610 (1024 mb) or radeon hd 4650 (1024 mb),видео карта,geforce gt 610 (1024 mb) or radeon hd 4650 (1024 mb),видео карта,geforce gt 610 (1024 mb) or radeon hd 4650 (1024 mb)
диск,7 gb,диск,7 gb,диск,7 gb,диск,7 gb,диск,7 gb,диск,7 gb
,,,,,,,,,,,
windows_min_Dungeons & Dragons: Dark Alliance,windows_min_Dungeons & Dragons: Dark Alliance
процессор,3.6ghz amd ryzen 5 3600 / intel core i5-9600k @ 3.7ghz
оперативная память,16 gb
видео карта,amd rx vega 56 / nvidia gtx 1660 ti
,
