windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition
windows_min_Biped,windows_min_Biped,windows_req_Biped,windows_req_Biped
операционная система,windows 7 sp1 / 8.1 / 10,операционная система,windows 7 sp1 / 8.1 / 10
процессор,i3 sandy bridge dual core,процессор,i5 sandy bridge dual core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660,видео карта,nvidia geforce gtx 960
диск,8 gb,диск,8 gb
дополнительно,controller recommended,дополнительно,controller recommended
,,,
windows_min_HELLION,windows_min_HELLION,windows_req_HELLION,windows_req_HELLION
операционная система,"windows 7 service pack 1, or windows 8, windows 10",операционная система,"windows 7 service pack 1, or windows 8, windows 10"
процессор,intel core™ i3 or amd phenom,процессор,intel core™ i5 or amd fx-8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or amd radeon™ equivalent,видео карта,nvidia geforce gtx 970 or amd radeon™ equivalent
directx,version 11,directx,version 11
,,,
windows_min_Wobbly Life,windows_min_Wobbly Life,windows_req_Wobbly Life,windows_req_Wobbly Life
операционная система,windows 7,операционная система,windows 10
процессор,amd athlon ii x4 760k 3.8ghz quad-core,процессор,intel core i7-6700k
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 750,видео карта,geforce gtx 760
directx,version 11,directx,version 11
,,,
windows_min_LEGO® Batman™ 3: Beyond Gotham,windows_min_LEGO® Batman™ 3: Beyond Gotham,windows_req_LEGO® Batman™ 3: Beyond Gotham,windows_req_LEGO® Batman™ 3: Beyond Gotham
операционная система,10.9.5,операционная система,10.10
процессор,1.8 ghz,процессор,2.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256mb vram*,видео карта,512mb vram*
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_DEAD OR ALIVE 6,windows_min_DEAD OR ALIVE 6,windows_req_DEAD OR ALIVE 6,windows_req_DEAD OR ALIVE 6
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core i5-4690 or over,процессор,intel core i7 8700 or over
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_WILD HEARTS™,windows_min_WILD HEARTS™,windows_req_WILD HEARTS™,windows_req_WILD HEARTS™
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-8400 / amd ryzen 5 2600,процессор,intel core i7-8700k / amd ryzen 5 3600
оперативная память,12 gb,оперативная память,16 gb
видео карта,geforce gtx 1060 (vram 6gb) / radeon rx 5500 xt (vram 8gb),видео карта,geforce rtx 2070 (vram 8gb) / radeon rx 5700 xt (vram 8gb)
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,80 gb,диск,80 gb
,,,
windows_min_Resident Evil: Operation Raccoon City,windows_min_Resident Evil: Operation Raccoon City,windows_req_Resident Evil: Operation Raccoon City,windows_req_Resident Evil: Operation Raccoon City
операционная система,"windows vista(r)/xp, windows 7",операционная система,"windows vista(r)/xp, windows 7"
процессор,"intel(r) core(tm)2 duo 2.4 ghz, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
диск,8 gb free hard drive space,диск,8 gb free hard drive space
видео карта,"nvidia(r) geforce(r) 8800gts, ati radeon(tm) hd 3850",видео карта,nvidia(r) geforce(r) gtx 560
directx,9.0c,directx,—
звуковая карта,standard audio device,звуковая карта,—
,,,
windows_min_Call of Duty®,windows_min_Call of Duty®
операционная система,"mac os x 10.4.11, 10.5.7"
процессор,2.0 ghz or faster
оперативная память,1 gb or higher
видео карта,3d hardware accelerator card required - 100% directx 9.0b compatible 32 mb hardware t&l-capable video card and latest drivers*
directx,version 9.0b (included)
сеть,—
диск,2.5 gb free disk space
звуковая карта,100% directx 9.0b compatible 16-bit sound card and latest drivers
дополнительно,"100% windows 98/me/2000/xp compatible mouse, keyboard and latest drivers"
video memory,128 mb or higher
graphics (ati),radeon&trade 9800
graphics (nvidia),geforce&reg 5200 **
периферия,macintosh mouse and keyboard
supported video cards,—
*apple original cpus only; cpu upgrades not supported,—
внимание,—
,
