windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
процессор,intel core i5-6200 cpu @ 2.3ghz,процессор,intel core i5-4210h cpu @ 2.9ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel hd graphics 520,видео карта,nvida gtx 960
directx,version 9.0c,directx,version 11
,,,
windows_min_LEGO® Marvel Super Heroes 2,windows_min_LEGO® Marvel Super Heroes 2,windows_req_LEGO® Marvel Super Heroes 2,windows_req_LEGO® Marvel Super Heroes 2
операционная система,macos 10.13.5,операционная система,—
процессор,1.8ghz intel core i3,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,—
,,,
windows_min_Gensokyo Night Festival,windows_min_Gensokyo Night Festival
операционная система,windows 10 (64bit)
процессор,"intel(r) core(tm) i7 cpu k 875 @ 2.93ghz (8 cpus), ~2.9ghz"
оперативная память,2 gb
видео карта,nvidia geforce gtx750 ti
,
windows_min_Seek Girl,windows_min_Seek Girl
операционная система,windows7/8/10
процессор,intel core i5
оперативная память,4 gb
видео карта,nvidia gef
диск,200 mb
,
windows_min_Tom Clancy's Ghost Recon: Future Soldier™,windows_min_Tom Clancy's Ghost Recon: Future Soldier™,windows_req_Tom Clancy's Ghost Recon: Future Soldier™,windows_req_Tom Clancy's Ghost Recon: Future Soldier™
операционная система,"windows vista (with service pack 2)/ windows 7 (with service pack 1), both 32 bit & versions.",операционная система,"windows vista (with service pack 2)/ windows 7 (with service pack 1), both 32 bit & versions."
процессор,intel pentium d 3.0 ghz or amd athlon64 x2 4400+ 2.2ghz,процессор,intel core2 quad q9450/ amd phenom ii x4 940 or higher
оперативная память,2gb windows vista or windows 7,оперативная память,3 gb windows vista & 7
видео карта,"512 mb directx–compliant, shader 4.0–enabled video card based on nvidia geforce 8600 gts/amd radeon hd 4650",видео карта,"1024 mb directx–compliant, shader 4.0–enabled video card based on nvidia geforce gtx 460 or amd/ati hd 5850 ."
directx,directx 11,directx,directx 11
диск,25 gb,диск,25 gb
,,,
