windows_min_Trine 3: The Artifacts of Power,windows_min_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power
процессор,"intel cpu core i5-2500k 3.3ghz, amd cpu phenom ii x4 940",процессор,—,процессор,"intel cpu core i5-2500k 3.3ghz, amd cpu phenom ii x4 940",процессор,—,процессор,"intel cpu core i5-2500k 3.3ghz, amd cpu phenom ii x4 940",процессор,—
оперативная память,4 gb,оперативная память,16 gb,оперативная память,4 gb,оперативная память,16 gb,оперативная память,4 gb,оперативная память,16 gb
видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 2gb video card memory",видео карта,4gb video card memory,видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 2gb video card memory",видео карта,4gb video card memory,видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 2gb video card memory",видео карта,4gb video card memory
directx,version 10,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,8 gb,диск,—,диск,8 gb,диск,—
диск,8 gb,диск,—,дополнительно,"multiplayer only, make sure you have a stable and fast internet connection.",дополнительно,—,дополнительно,"multiplayer only, make sure you have a stable and fast internet connection.",дополнительно,—
,,,,,,,,,,,
windows_min_Downwell,windows_min_Downwell
операционная система,windows 7
оперативная память,1 gb
directx,version 10
диск,200 mb
,
windows_min_Red Faction Guerrilla Steam Edition,windows_min_Red Faction Guerrilla Steam Edition,windows_req_Red Faction Guerrilla Steam Edition,windows_req_Red Faction Guerrilla Steam Edition
операционная система,windows vista/xp/7/8,операционная система,windows 7/8 for directx 11
процессор,2.0 ghz dual-core (intel core 2 duo or amd athlon x2),процессор,3.2 ghz dual-core (intel core 2 duo or amd athlon x2)
оперативная память,1 gb,оперативная память,2 gb
видео карта,128 mb 3d video card w/shader model 3.0 support (nvidia geforce 7600 / ati radeon x1300),видео карта,256 mb 3d video card w/shader model 3.0 support (nvidia geforce 8800 / ati radeon hd3850)
,,,
windows_min_SUPERHOT: MIND CONTROL DELETE,windows_min_SUPERHOT: MIND CONTROL DELETE,windows_req_SUPERHOT: MIND CONTROL DELETE,windows_req_SUPERHOT: MIND CONTROL DELETE,macos_min_SUPERHOT: MIND CONTROL DELETE,macos_min_SUPERHOT: MIND CONTROL DELETE,macos_req_SUPERHOT: MIND CONTROL DELETE,macos_req_SUPERHOT: MIND CONTROL DELETE,linux_min_SUPERHOT: MIND CONTROL DELETE,linux_min_SUPERHOT: MIND CONTROL DELETE,linux_req_SUPERHOT: MIND CONTROL DELETE,linux_req_SUPERHOT: MIND CONTROL DELETE
