windows_min_Mass Effect 3,windows_min_Mass Effect 3,windows_req_Mass Effect 3,windows_req_Mass Effect 3
процессор,intel core i5-6500 / amd ryzen 5 1600,процессор,intel core i7-6700k / amd ryzen 5 1600x
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 - 6gb / amd rx vega 56,видео карта,nvidia geforce gtx 1080 / amd rx vega 64
диск,4 gb,диск,4 gb
,,,
windows_min_Portals World,windows_min_Portals World,windows_req_Portals World,windows_req_Portals World,macos_min_Portals World,macos_min_Portals World,macos_req_Portals World,macos_req_Portals World,linux_min_Portals World,linux_min_Portals World,linux_req_Portals World,linux_req_Portals World
операционная система,"windows 7,8,10",операционная система,"windows 7,8,10",операционная система,"10.6.8, 32/",операционная система,latest mac os,операционная система,ubuntu 16.04 and ubuntu 18.04,операционная система,ubuntu 16.04 and ubuntu 18.04
процессор,dual core 2.0 ghz,процессор,dual core 2.0 ghz,процессор,dual core 2.0 ghz,процессор,dual core 2.0 ghz,процессор,x64 architecture with sse2 instruction set support.,процессор,x64 architecture with sse2 instruction set support.
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 mb,оперативная память,8 mb
видео карта,512 mb graphics card,видео карта,1 gb graphics card,видео карта,512 mb graphics card,видео карта,1 gb graphics card,видео карта,"opengl 3.2+, vulkan capable.",видео карта,"opengl 3.2+, vulkan capable."
диск,600 mb,диск,600 mb,диск,500 mb,диск,500 gb,диск,500 mb,диск,500 mb
,,,,,,,,,,,
windows_min_Captain Frogger,windows_min_Captain Frogger
операционная система,"windows7,8,10"
процессор,sse2(pentium 4 )
оперативная память,4 gb
сеть,широкополосное подключение
,
windows_min_FAST & FURIOUS CROSSROADS,windows_min_FAST & FURIOUS CROSSROADS,windows_req_FAST & FURIOUS CROSSROADS,windows_req_FAST & FURIOUS CROSSROADS
операционная система,windows 10 x64,операционная система,windows 10 x64
процессор,3.5 ghz intel core i5 3450 or 4.0 ghz amd fx-8350,процессор,intel i7 8700k or amd ryzen 7 2700x
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx680,видео карта,nvidia gtx 2080 or amd radeon vii
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_SCP: The Foundation,windows_min_SCP: The Foundation,windows_req_SCP: The Foundation,windows_req_SCP: The Foundation
операционная система,windows 7,операционная система,windows 10
процессор,intel core 2 quad q9650 @3.0ghz / amd phenom ii x4 840t @2.9ghz,процессор,intel core i7 4770 @3.4ghz / amd ryzen 3 3300x @3.8ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2gb gddr5 / amd rx 560 4gb gddr5,видео карта,nvidia geforce gtx 1050 ti 4gb gddr5 / amd radeon r9 280x 3gb gddr5
directx,version 11,directx,version 12
,,,
windows_min_High Entropy: Challenges,windows_min_High Entropy: Challenges
операционная система,windows 10
процессор,ryzen 5 3500u
оперативная память,8 gb
видео карта,radeon vega 8
диск,4 gb
,
