windows_min_RESIDENT EVIL 2 - Leon Costume: '98,windows_min_RESIDENT EVIL 2 - Leon Costume: '98,windows_req_RESIDENT EVIL 2 - Leon Costume: '98,windows_req_RESIDENT EVIL 2 - Leon Costume: '98
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,intel core™ i5-4460 or amd fx™-6300,процессор,intel core™ i7-3770 or amd fx™-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_Lethal League Blaze - Master of the Mountain Outfit for Dust & Ashes,windows_min_Lethal League Blaze - Master of the Mountain Outfit for Dust & Ashes
операционная система,os x 10.6.8
процессор,core 2 duo 2ghz+
оперативная память,4 gb
видео карта,1024 mb video memory
directx,version 11
диск,4 gb
,
windows_min_ONE PIECE World Seeker AniSong Pack,windows_min_ONE PIECE World Seeker AniSong Pack,windows_req_ONE PIECE World Seeker AniSong Pack,windows_req_ONE PIECE World Seeker AniSong Pack
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel core i5-2300 or amd a10-7850k,процессор,intel core i7-3770 or amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 or radeon hd 7950,видео карта,geforce gtx 1060 or radeon rx 580
,,,
windows_min_Serious Sam HD: The Second Encounter - Legend of the Beast DLC,windows_min_Serious Sam HD: The Second Encounter - Legend of the Beast DLC
операционная система,windows xp w/sp1
процессор,intel pentium 4 3+ ghz or amd athlon64 3500+
оперативная память,1 gb for windows xp or 2 gb for windows vista gb
видео карта,"nvidia geforce 7600, ati radeon x1600 (shader model 3.0 required)"
directx,9.0c
диск,2 gb hd space
звуковая карта,direct x 9.0c compatible sound card
,
windows_min_Ironsight,windows_min_Ironsight,windows_req_Ironsight,windows_req_Ironsight
операционная система,windows 7,операционная система,windows 7 or above
процессор,intel core™2 duo e7500,процессор,intel core™ i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce 9600 gt,видео карта,nvidia geforce gtx 650
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Sleeping Dogs: Wheels of Fury,windows_min_Sleeping Dogs: Wheels of Fury,windows_req_Sleeping Dogs: Wheels of Fury,windows_req_Sleeping Dogs: Wheels of Fury
операционная система,"windows vista service pack 2, windows 7",операционная система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx,10,directx,11
диск,15 gb hd space,диск,15 gb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Thief of Thieves,windows_min_Thief of Thieves,windows_req_Thief of Thieves,windows_req_Thief of Thieves
операционная система,microsoft windows xp/vista/7/8/8.1 (),операционная система,microsoft windows 7/8/10 ()
процессор,"intel core 2 duo, 3.0ghz or amd athlon 64 x2 6400+, 3.2ghz",процессор,"intel core i5-3470, 3.20ghz or amd fx-6300, 3.5ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 460,1 gb or ati radeon hd 6800, 1 gb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb (does not support intel integrated graphics cards)"
directx,version 9.0c,directx,version 11
,,,
windows_min_Devastated,windows_min_Devastated
операционная система,"windows vista, 7, 8 or 10"
процессор,~1.8 ghz or dual-core
оперативная память,512 mb
видео карта,directx 9 compatible graphics
directx,version 9.0
диск,50 mb
,
windows_min_Hyperspace Dogfights,windows_min_Hyperspace Dogfights,windows_req_Hyperspace Dogfights,windows_req_Hyperspace Dogfights
