звуковая карта,integrated sound card,звуковая карта,integrated sound card
,,,
windows_min_Bunker Punks,windows_min_Bunker Punks,windows_req_Bunker Punks,windows_req_Bunker Punks
операционная система,windows xp sp3,операционная система,windows xp sp3
процессор,2.5 ghz dual core,процессор,2.5 ghz dual core
оперативная память,2 gb,оперативная память,—
видео карта,"geforce 8600, 256 mb memory",видео карта,"geforce 8600, 256 mb memory"
,,,
windows_min_Arthas - The Game,windows_min_Arthas - The Game,windows_req_Arthas - The Game,windows_req_Arthas - The Game
операционная система,windows 7/8/10/11,операционная система,windows 10/11
процессор,intel core i3 8100 / amd ryzen 1200,процессор,intel core i5 10400f / amd ryzen 2600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gt 1030 / amd radeon r7 360 / vega 7,видео карта,nvidia geforce gtx 1060 / amd radeon rx 470 4gb
directx,version 11,directx,version 12
диск,30 gb,диск,30 gb
,,,
windows_min_HITMAN™: Episode 2 - Sapienza,windows_min_HITMAN™: Episode 2 - Sapienza,windows_req_HITMAN™: Episode 2 - Sapienza,windows_req_HITMAN™: Episode 2 - Sapienza,macos_min_HITMAN™: Episode 2 - Sapienza,macos_min_HITMAN™: Episode 2 - Sapienza,macos_req_HITMAN™: Episode 2 - Sapienza,macos_req_HITMAN™: Episode 2 - Sapienza,linux_min_HITMAN™: Episode 2 - Sapienza,linux_min_HITMAN™: Episode 2 - Sapienza,linux_req_HITMAN™: Episode 2 - Sapienza,linux_req_HITMAN™: Episode 2 - Sapienza
операционная система,os windows 7,операционная система,os windows 7 / windows 8 (8.1) or windows 10,операционная система,macos 10.12.5,операционная система,—,операционная система,ubuntu 16.04 or steam os 2.0,операционная система,ubuntu 16.10 or steam os 2.0
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,"intel cpu core i7 3770 3,4 ghz / amd cpu amd fx-8350 4 ghz",процессор,2.0ghz intel core i5,процессор,—,процессор,intel core i5-2500k/amd fx-8350,процессор,intel core i7 3770
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 770 / amd gpu radeon r9 290,видео карта,2gb amd m290 (see notes for more details),видео карта,—,видео карта,nvidia geforce gtx 680 / amd r9 270x graphics card *,видео карта,nvidia geforce gtx 970 / amd r9 290 graphics card *
directx,version 11,directx,version 11,диск,68 gb,диск,—,диск,67 gb,диск,67 gb
,,,,,,,,,,,
windows_min_Space Farmers,windows_min_Space Farmers,windows_req_Space Farmers,windows_req_Space Farmers,macos_min_Space Farmers,macos_min_Space Farmers,macos_req_Space Farmers,macos_req_Space Farmers,linux_min_Space Farmers,linux_min_Space Farmers,linux_req_Space Farmers,linux_req_Space Farmers
операционная система,windows xp and above,операционная система,windows 8 professional,операционная система,os x lion 10.7,операционная система,os x mavericks,операционная система,ubuntu,операционная система,ubuntu
процессор,1.5ghz,процессор,multi core amd or intel 2.5ghz+,процессор,1.5ghz,процессор,2ghz,процессор,1.5ghz,процессор,2ghz
оперативная память,2 gb,оперативная память,8 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,directx 9 or above compatible graphics card,видео карта,directx 9 or above compatible graphics card,дополнительно,broadband internet connection required,дополнительно,broadband internet connection required,видео карта,nvidia/ati graphics card with 256mb of memory or more.,видео карта,nvidia/ati graphics card with 512mb of memory or more.
directx,version 9.0,directx,version 9.0,,,,,диск,250 mb,диск,250 mb
сеть,широкополосное подключение,сеть,широкополосное подключение,,,,,дополнительно,broadband internet connection required,дополнительно,broadband internet connection required
диск,250 mb,диск,250 mb,,,,,,,,
звуковая карта,anything that makes a noise!,звуковая карта,—,,,,,,,,
,,,,,,,,,,,
windows_min_Combat Air Patrol 2: Military Flight Simulator,windows_min_Combat Air Patrol 2: Military Flight Simulator,windows_req_Combat Air Patrol 2: Military Flight Simulator,windows_req_Combat Air Patrol 2: Military Flight Simulator
операционная система,windows 7,операционная система,windows 10
процессор,core i3,процессор,core i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx750 / amd r7 250/amd a10 apu,видео карта,nvidia gtx970 / amd radeon r9 280
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,2 channel audio,звуковая карта,5.1 channel audio
,,,
