windows_min_POPULATION: ONE,windows_min_POPULATION: ONE,windows_req_POPULATION: ONE,windows_req_POPULATION: ONE
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590 or amd ryzen 5 1500x,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 or amd radeon r9 290,видео карта,nvidia gtx 970 or amd radeon r9 290
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_SEUM: Speedrunners from Hell,windows_min_SEUM: Speedrunners from Hell,macos_min_SEUM: Speedrunners from Hell,macos_min_SEUM: Speedrunners from Hell,linux_min_SEUM: Speedrunners from Hell,linux_min_SEUM: Speedrunners from Hell
операционная система,windows xp sp2,операционная система,mac os x 10.8,операционная система,ubuntu 12.04
процессор,1.5 ghz,процессор,1.5 ghz,процессор,1.5 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,"512mb, shader model 2.0",видео карта,"512mb, shader model 2.0",видео карта,"512mb, shader model 2.0"
directx,version 9.0c,диск,2 gb,диск,2 gb
,,,,,
windows_min_FORCED: Slightly Better Edition,windows_min_FORCED: Slightly Better Edition,windows_req_FORCED: Slightly Better Edition,windows_req_FORCED: Slightly Better Edition,macos_min_FORCED: Slightly Better Edition,macos_min_FORCED: Slightly Better Edition,macos_req_FORCED: Slightly Better Edition,macos_req_FORCED: Slightly Better Edition,linux_min_FORCED: Slightly Better Edition,linux_min_FORCED: Slightly Better Edition,linux_req_FORCED: Slightly Better Edition,linux_req_FORCED: Slightly Better Edition
операционная система,"windows 7, windows 8",операционная система,"windows 7, windows 8",операционная система,10.7.5 (lion),операционная система,10.8.2 (mountain lion),операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,"intel core 2 duo, amd athlon x2, or equal at 1.6ghz",процессор,quadcore 2.0 ghz +,процессор,2.2 ghz intel core 2 duo,процессор,2.4 ghz intel quad core,процессор,2.2 ghz intel core 2 duo,процессор,quadcore 2.0 ghz +
оперативная память,2 gb,оперативная память,8 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 9.0c-compatible, sm 3.0-compatible",видео карта,"nvidia geforce 8800 gts, 512mb+ vram",видео карта,integrated,видео карта,nvidia geforce gt 120 / ati radeon hd,видео карта,"directx 9.0c-compatible, sm 3.0-compatible",видео карта,nvidia geforce gt 120 / ati radeon hd
directx,version 9.0c,directx,—,диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb
диск,5 gb,диск,5 gb,,,,,,,,
,,,,,,,,,,,
windows_min_APE OUT,windows_min_APE OUT,windows_req_APE OUT,windows_req_APE OUT
операционная система,mac os x 10.11 or higher,операционная система,—
процессор,intel core2 duo e4500 (2 * 2200),процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,geforce 9600 gt (512 mb),видео карта,geforce gtx 550 ti (1024 mb)
directx,version 11,directx,version 11
диск,2 gb,диск,—
,,,
windows_min_Evoland 2,windows_min_Evoland 2
операционная система,10.6 leopard
процессор,1 ghz cpu
оперативная память,2 gb
видео карта,1024x768 desktop screen resolution
directx,version 9.0c
,
windows_min_X3: Terran Conflict,windows_min_X3: Terran Conflict,windows_req_X3: Terran Conflict,windows_req_X3: Terran Conflict,macos_min_X3: Terran Conflict,macos_min_X3: Terran Conflict,macos_req_X3: Terran Conflict,macos_req_X3: Terran Conflict,linux_min_X3: Terran Conflict,linux_min_X3: Terran Conflict,linux_req_X3: Terran Conflict,linux_req_X3: Terran Conflict
операционная система,windows 10 / 8 / 7 / vista sp1 / xp sp2,операционная система,windows 10 / 8 / 7 / vista sp1,операционная система,10.7 (lion),операционная система,10.8 (mountain lion),операционная система,ubuntu 12.04 lts,операционная система,ubuntu 12.04 lts
процессор,pentium iv or amd equivalent at 2.0 ghz,процессор,intel core™ 2 duo or amd equivalent at 2.0 ghz,процессор,pentium iv or amd equivalent at 2.0 ghz,процессор,intel core™ 2 duo or amd equivalent at 2.0 ghz,процессор,pentium iv or amd equivalent at 2.0 ghz,процессор,intel core™ 2 duo or amd equivalent at 2.0 ghz
оперативная память,1 gb,оперативная память,3 gb,оперативная память,1 gb,оперативная память,3 gb,оперативная память,1 gb,оперативная память,3 gb
видео карта,256 mb 3d directx 9 compatible video card (not onboard) with pixel shader 1.1 support,видео карта,256 mb 3d directx 9 compatible video card (not onboard) with pixel shader 3.0 support,видео карта,256mb opengl 2.0+ discrete nvidia/amd card or intel core i7-2620m,видео карта,512mb opengl 3.0+ discrete nvidia/amd card,видео карта,256mb opengl 2.0+ discrete nvidia/amd card (with proprietary driver) or intel core i7-2620m with mesa 9.0,видео карта,512mb opengl 3.0+ discrete nvidia/amd card (with proprietary driver)
диск,10gb of free space,диск,10gb of free space,диск,10gb of free space,диск,10gb of free space,диск,10gb of free space,диск,10gb of free space
,,,,,,,,,,,
windows_min_Ashen,windows_min_Ashen,windows_req_Ashen,windows_req_Ashen
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i3 @ 3.5ghz or amd fx-4170,процессор,intel core i5 @ 3.5ghz or amd fx 6 core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd r7 270x (2gb vram),видео карта,nvidia geforce gtx 970 or amd r9 290x (4gb vram)
directx,version 11,directx,version 11
,,,
