процессор,intel pentium 4 2.0 ghz equivalent or faster,процессор,decent,процессор,intel core2 duo,процессор,—,дополнительно,this version does not support achievements,дополнительно,—
оперативная память,512 mb,оперативная память,—,видео карта,compatible openglr,видео карта,—,,,,
видео карта,any gpu will do.,видео карта,visible,дополнительно,this version does not support achievements,дополнительно,—,,,,
звуковая карта,who uses sound cards?,звуковая карта,audible,,,,,,,,
,,,,,,,,,,,
windows_min_Ys VI: The Ark of Napishtim,windows_min_Ys VI: The Ark of Napishtim,windows_req_Ys VI: The Ark of Napishtim,windows_req_Ys VI: The Ark of Napishtim
операционная система,windows xp,операционная система,"windows xp, vista, 7"
процессор,pentium iii 800 mhz,процессор,pentium iii 1 ghz or higher
оперативная память,1 gb,оперативная память,1 gb
видео карта,"32 mb vram, 3d accelerator compatible w/ directx 9.0c",видео карта,"32 mb vram, 3d accelerator compatible w/ directx 9.0c"
directx,version 8.0,directx,version 9.0c
диск,1 gb,диск,2 gb
,,,
windows_min_The Talos Principle: Road To Gehenna,windows_min_The Talos Principle: Road To Gehenna,windows_req_The Talos Principle: Road To Gehenna,windows_req_The Talos Principle: Road To Gehenna,macos_min_The Talos Principle: Road To Gehenna,macos_min_The Talos Principle: Road To Gehenna,macos_req_The Talos Principle: Road To Gehenna,macos_req_The Talos Principle: Road To Gehenna,linux_min_The Talos Principle: Road To Gehenna,linux_min_The Talos Principle: Road To Gehenna,linux_req_The Talos Principle: Road To Gehenna,linux_req_The Talos Principle: Road To Gehenna
операционная система,windows xp 32-bit (with service pack 3),операционная система,windows 7,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3",операционная система,os x version snow leopard 10.6.3,операционная система,linux ubuntu 12.04,операционная система,linux ubuntu 12.04
процессор,dual-core 2.0 ghz,процессор,quad-core 3.0 ghz,процессор,intel core 2 duo 2.2 ghz,процессор,intel quad core 3.2 ghz,процессор,dual-core 2.2 ghz,процессор,quad-core 3.2 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 class gpu with 512mb vram (nvidia geforce 8600 series, amd radeon hd 3600 series, intel hd 4000 series)",видео карта,"directx 11 class gpu with 1gb vram (nvidia geforce 480 gtx, amd radeon hd 5870)",видео карта,"nvidia geforce gt 9600m/320m 512mb vram, amd radeon hd 4670 512mb vram (intel integrated gpus are not supported!)",видео карта,"nvidia geforce 480 gtx 1gb vram, amd radeon hd 5870 1gb vram (intel integrated gpus are not supported!)",видео карта,"nvidia geforce 8600 / 9600gt 512mb vram, ati/amd radeon hd2600/3600 512mb vram",видео карта,"nvidia geforce 480 gtx 1gb vram, ati/amd radeon hd 5870 1gb vram"
directx,version 9.0,directx,version 9.0,диск,2 gb,диск,4 gb,диск,5 gb,диск,8 gb
диск,5 gb,диск,8 gb,,,,,звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card
,,,,,,,,,,,
windows_min_Tom Clancy's Rainbow Six® Vegas,windows_min_Tom Clancy's Rainbow Six® Vegas
операционная система,windows® xp (only)
процессор,3 ghz pentium 4 or amd athlon 3000 (3.5 ghz pentium 4 or athlon 3500 recommended)
оперативная память,1 gb (2 gb recommended)
видео карта,"128 mb directx 9.0c-compliant, shader 3.0-enabled video card (256mb recommended) (see supported list*)"
звуковая карта,directx 9-compliant sound card (pc audio solution containing dolby digital live required for dolby digital audio)
directx,directx 9 or higher
диск,7 gb free
peripherals supported,"windows-compatible mouse and keyboard, xbox 360 controller (with additional software download)"
мультиплеер,broadband internet connection with 128 kbps kbps upstream or faster.
,
windows_min_Alien Breed: Impact,windows_min_Alien Breed: Impact
операционная система,windows&reg xp sp2
процессор,2.0+ ghz single core
оперативная память,1gb
видео карта,nvidia 6800+ or ati radeon x700+ video card
directx,9.0c
диск,1.5 gb
звуковая карта,windows supported sound card
,
windows_min_Infectonator: Survivors,windows_min_Infectonator: Survivors,windows_req_Infectonator: Survivors,windows_req_Infectonator: Survivors,macos_min_Infectonator: Survivors,macos_min_Infectonator: Survivors,macos_req_Infectonator: Survivors,macos_req_Infectonator: Survivors,linux_min_Infectonator: Survivors,linux_min_Infectonator: Survivors,linux_req_Infectonator: Survivors,linux_req_Infectonator: Survivors
операционная система,windows xp,операционная система,windows xp or higher,операционная система,mac os x v10.6,операционная система,mac os x v10.6 or higher,операционная система,"ubuntu 10.10, fedora 12 and opensuse 11",операционная система,"ubuntu 10.10, fedora 12 and opensuse 11"
процессор,2.33 ghz or faster,процессор,2.33 ghz or faster,процессор,intel core™ duo or faster,процессор,intel core™ duo or faster,процессор,2.33 ghz or faster,процессор,2.33 ghz or faster
оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb
видео карта,any gpu that support pixel shader version 2.x or above,видео карта,any gpu that support pixel shader version 2.x or above,видео карта,any gpu that support pixel shader version 2.x or above,видео карта,any gpu that support pixel shader version 2.x or above,видео карта,any gpu that support pixel shader version 2.x or above,видео карта,any gpu that support pixel shader version 2.x or above
диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb
,,,,,,,,,,,
windows_min_D'LIRIUM,windows_min_D'LIRIUM,windows_req_D'LIRIUM,windows_req_D'LIRIUM
операционная система,windows 7,операционная система,windows 7 ( versions)
процессор,intel or amd at 2.0 ghz,процессор,dual core from intel or amd at 2.8 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8600 / 9600gt,видео карта,nvidia geforce 9600gt
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,200 mb,диск,500 mb
,,,
windows_min_Immune - True Survival,windows_min_Immune - True Survival,windows_req_Immune - True Survival,windows_req_Immune - True Survival
операционная система,windows xp,операционная система,windows xp
процессор,"2 ghz, dual core",процессор,"2 ghz, dual core"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 9 supported, less than 7 years old",видео карта,"directx 10 supported, less than 5 years old"
directx,version 9.0c,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,400 mb,диск,400 mb
,,,
windows_min_The Way,windows_min_The Way
операционная система,macos 10.7.5
процессор,intel core 2 duo or amd equivalent
оперативная память,2048 mb
видео карта,geforce 8600gt
,
windows_min_The Void,windows_min_The Void
операционная система,windows xp sp2 / vista
процессор,pentium iv 2ghz
оперативная память,512 mb
видео карта,128 mb directx 9.0c compatible video card (e.g. nvidia geforce™ fx 5600 or ati radeon™ 9600)
directx,9.0c
диск,6gb
,
