оперативная память,4 gb,оперативная память,8 gb
видео карта,1 gb dx9 (shader model 3.0),видео карта,—
,,,
windows_min_Evil Maze,windows_min_Evil Maze,windows_req_Evil Maze,windows_req_Evil Maze
операционная система,windows xp/vista/windows 7/8/8.1/10 (32bit/64bit),операционная система,windows xp/vista/windows 7/8/8.1/10 (32bit/64bit)
процессор,1.6 ghz,процессор,1.6 ghz+
оперативная память,128 mb,оперативная память,512 mb
видео карта,intel graphics,видео карта,nividia or amd
directx,version 9.0,directx,version 9.0c
диск,300 mb,диск,800 mb
,,,
windows_min_Beast Battle Simulator,windows_min_Beast Battle Simulator
операционная система,windows 7
процессор,3 ghz dual core
оперативная память,4 gb
видео карта,geforce 5 series
directx,version 9.0
,
